theme_name,description,n_members_present,theme_rs_benchmark_12m_mean,theme_mom_12m_mean,theme_mom_6m_mean,theme_acceleration,theme_rs_acceleration,theme_breadth_price_above_ma200,theme_phase
ai_infrastructure,"AI hardware stack — GPUs, networking, memory, data center gear",13,2.293344343171568,2.6027753714821795,0.6992862629158231,-0.5825775763083444,-2.031887373774932,0.7692307692307693,peaking
semi_design_memory,Fabless design + memory,9,1.2656150210764046,1.5750460493870158,0.3200192557006731,-0.2535513596719625,-1.172809704563276,0.6666666666666666,maturing
semi_equipment,Wafer fab equipment + photonics,5,1.25492145835968,1.5643524866702911,0.5651215796361062,-0.5483967553111746,-0.9574452873714857,1.0,peaking
defense_drones,Defense prime + drone + sats,4,0.7637689702934659,1.073199998604077,0.1149381446164169,-0.14604402289981988,-0.7357946257460939,0.75,peaking
data_center_infra,Physical data center REITs + power/cooling,4,0.6910794643197826,1.0005104926303938,0.30466572740680825,-0.2694571704229034,-0.40282669348579886,1.0,peaking
luxury_discretionary,High-end consumer discretionary,2,0.43329527139377516,0.7427262997043864,0.18469519726927303,-0.19442059016545987,-0.38770776736310264,1.0,peaking
power_grid_infra,Power grid equipment + construction,5,0.4082478349751666,0.7176788632857779,0.1747216064531249,-0.1521612132604495,-0.2814191509015832,0.8,peaking
industrial_reshoring,US manufacturing / reshoring beneficiaries,6,0.332318195558366,0.6417492238689771,0.03717510086971016,-0.10297121942474091,-0.26796874435260165,0.5,maturing
oil_gas_services,Oilfield services + equipment,3,0.29065982172031196,0.6000908500309231,0.5371481321712631,-0.480310658004316,0.05167793836636042,1.0,peaking
oil_gas_ep,Oil & gas exploration + production,9,0.01482313853631721,0.32425416684692837,0.4820936735612855,-0.3556838045438683,0.3667007232478111,1.0,maturing
biotech_cros,Clinical research organizations,2,-0.023058938099841914,0.2863720902107693,-0.1197249613928318,0.1262887976851402,-0.1723782124579498,0.0,dead
ecommerce,E-commerce + marketplaces,2,-0.03178603984501405,0.27764498846559715,0.03483543330364079,-0.022028270477297343,0.05605924223232169,0.5,early
cloud_hyperscale,Cloud infrastructure giants,6,-0.04947675237054917,0.25995427594006204,-0.10050585738577776,0.054924868067642706,-0.10867636449099077,0.3333333333333333,dead
ai_software,AI-native or AI-heavy software platforms,8,-0.07080037875891793,0.23863064955169327,-0.14429323563033203,0.07609760381192142,-0.09450800255793163,0.25,dead
discount_retail,Off-price + discount retailers,5,-0.08663024632654058,0.22280078198407063,0.10317128529927796,-0.10867139641707632,0.1330371387785357,0.6,early
nuclear_smr,Nuclear power + small modular reactors,5,-0.09136968977077144,0.2180613385398397,-0.09371806654857981,0.022144173071694778,0.025391004296794625,0.2,dead
digital_banks_brokerage,Online brokers + digital banks,1,-0.111643406211479,0.1977876220991321,0.0093738452566476,-0.0347381226432222,0.021758699334286605,0.0,dead
autonomous_driving,EV + ADAS + autonomy,2,-0.15119001419330386,0.15824101411730723,-0.1995572002613667,0.0966202288236382,-0.01738050157730675,0.0,dead
weight_loss_drugs,GLP-1 / obesity drugs,1,-0.1536662709722895,0.1557647573383216,0.1681371228343147,-0.2362274339434186,0.1979768203761788,1.0,early
lng_midstream,Natural gas LNG export + midstream,4,-0.16630512466429476,0.1431259036463164,0.30452891120771475,-0.25603781400332903,0.4522578995558678,1.0,early
cybersecurity,Security platforms + zero trust,5,-0.2509265757421297,0.058504452568481524,-0.21470725125140838,0.18778643140069595,0.15267584327431644,0.2,dead
payments_rails,Card networks + processors,3,-0.3327733600682822,-0.023342331757670965,-0.10536319781451599,0.07292482119605452,0.18827113380489333,0.0,dead
oncology_mrna,Oncology + mRNA platforms,1,-0.4111704715978673,-0.1017394432872561,0.0622477224153679,-0.1197973494058283,0.3632322586822372,0.0,dead
medtech_devices,Medical devices + equipment,7,-0.4139977290628744,-0.10456670075226324,-0.10435696706966875,0.02213990172130076,0.25800382208493056,0.14285714285714285,dead
saas_vertical,Vertical SaaS (non-AI),2,-0.6132513519809282,-0.3038203236703169,-0.42835510710722,0.299131869186257,0.349884233823901,0.0,dead
crypto_blockchain,Crypto-adjacent equities,0,,,,,,,
uranium_materials,Uranium + strategic materials,0,,,,,,,
