gate,check,passed,severity,observed,threshold,reason,evidence
broker_accounting,audit_artifact_present,True,hard,True,True,research/broker_accounting_audit.json must exist so the challenger can read known-bias flags.,research/broker_accounting_audit.json
broker_accounting,delisted_cost_basis_fallback_eliminated,True,hard,True,True,FIXED 2026-05-14. account_equity no longer falls back to state.cost_basis when price_at_or_before returns None / <=0 / NaN. Instead the position is marked at delisted_recovery_rate * cost_basis (default 0.0 = honest delisted-to-zero accounting). Position remains in state.shares for downstream diagnostics but no longer inflates equity. Regression test exercises both the synthetic 'last close still positive' case (marks at last close) and the 'last close <= 0' case (marks at 0.0). Effect on existing metrics: MaxDD widens by ~0-3pp depending on how many positions in the test universe ever fall to non-positive last close.,"tools/run_broker_ledger_replay.py:307-353 (account_equity now uses delisted_recovery_rate * cost_basis, default 0.0; cost_basis fallback removed)"
broker_accounting,survivorship_coverage_audited,False,hard,False,True,"The price cache must include historical R1000 constituents that have since been delisted or acquired. Without this audit, broker-ledger metrics over 7+ years can only see survivors, inflating CAGR and hiding MaxDD. As of 2026-05-14 the AUDIT TOOL ships (tools/run_survivorship_audit.py + smoke test) but the gate flip awaits a real-data measurement showing coverage_ratio >= 0.85 over a >= 100-ticker delisted set.","tools/run_survivorship_audit.py (audit tool added 2026-05-14; reads historical_universe_membership + price_cache, emits outputs/audit/survivorship_coverage.json with coverage_ratio / hard_gate_flip_eligible flag)"
broker_accounting,multi_day_fill_date_stamping_corrected,False,soft,False,True,"When per-ticker fill dates span multiple days, every trade is stamped with min(fill_dt_by_ticker.values()) instead of each ticker's actual_dt. Cash is debited earlier than the trade could have happened in reality. Minor for liquid R1000 universe but should be corrected.",tools/run_broker_ledger_replay.py:552-611
broker_accounting,sharpe_uses_excess_return,True,soft,True,True,FIXED 2026-05-14. calc_metrics now takes a `risk_free_annual` parameter (default 0.025 = 2.5% annual T-bill yield proxy) and subtracts it from the strategy's annualized return before dividing by volatility. metrics.json emits sharpe_risk_free_annual alongside sharpe for transparency. Effect on existing reported Sharpe: -0.10 to -0.30 (e.g. Iter 2 Main Sharpe 1.090 -> ~0.80-0.90; Conc 1.094 -> ~0.80-0.90). Numbers are now honest; downstream Sharpe-based gates inherit the correction.,tools/run_broker_ledger_replay.py:calc_metrics (Sharpe now (ann_return - risk_free_annual) / vol; default risk_free_annual=0.025)
schema,policy_valid,True,hard,[],valid proposal-only schema,Policy must be proposal-only and keep production activation disabled.,
schema,production_activation_disabled,True,hard,False,False,AutoLearning policy cannot directly change production.,
schema,human_approval_required,True,hard,True,True,Capital allocation and execution policies require human approval.,
main,feature_gate_candidate_backtest_executed,False,hard,candidate_only,full candidate rebuild/backtest,Feature-gate candidate currently has dry-run/proxy metrics only.,outputs/experiments/E1_auto_feature_gates_on/metrics.json
main,main_cagr_floor,False,hard,0.20165834588806963,0.29992798155664135,Candidate main CAGR must not regress beyond the policy gate.,outputs/experiments/E1_auto_feature_gates_on/metrics.json
main,main_sharpe_floor,False,hard,1.0971959712745438,1.6270972870997102,Candidate main Sharpe must not regress beyond the policy gate.,outputs/experiments/E1_auto_feature_gates_on/metrics.json
main,main_max_dd_floor,False,hard,-0.27307967491398366,-0.18405703766101722,Candidate main MaxDD must not worsen beyond the policy gate.,outputs/experiments/E1_auto_feature_gates_on/metrics.json
main_v2,main_v2_historical_backtest_exists,False,hard,latest_snapshot_only,83-month main_v2 backtest,"Main v2 currently has latest shadow output, not historical performance.",outputs/main_v2/main_v2_audit_latest.json
main_v2,main_v2_cap_audit,True,soft,"{'positions': 11, 'cash': 0.07820306303913749}","cap<=15%, positions>0",Latest shadow construction is internally useful but not enough for promotion.,outputs/main_v2/main_v2_audit_latest.json
concentrated,concentrated_cagr_floor,True,hard,0.5512182594905781,0.3,Standalone concentrated historical CAGR must clear the policy floor.,cloud_results/full_rebuild/latest_global_alpha_universe/concentrated_backtest_metrics.json
concentrated,concentrated_max_dd_floor,True,hard,-0.14001362470919554,-0.25,Standalone concentrated MaxDD must clear the policy floor.,cloud_results/full_rebuild/latest_global_alpha_universe/concentrated_backtest_metrics.json
concentrated,single_name_and_sector_cap_audit,False,hard,2,0,Latest concentrated policy audit found cap violations that must be resolved before more capital.,outputs/concentrated_policy/policy_audit_latest.json
orchestrator,orchestrator_historical_backtest_exists,False,hard,snapshot_report_only,83-month orchestrator backtest,Orchestrator balanced currently reports latest snapshot only.,outputs/experiments/E5_orchestrator_balanced/metrics.json
orchestrator,snapshot_cash_floor,True,soft,0.19999999999999996,0.25,"Latest snapshot cash is within the proposed max average cash threshold, but historical cash drag is unknown.",outputs/experiments/E5_orchestrator_balanced/metrics.json
alpha_sprint,alpha_sprint_historical_backtest_exists,False,hard,"{'alpha_sprint_status': 'not_backtested_missing_historical_scored_snapshot', 'weekly_leader_available': False}",weekly/historical alpha sprint or weekly leader-entry broker replay,Alpha Sprint can remain candidate-only until bull/strong-bull historical tests exist; weekly leader entry broker replay can now serve as the first counterfactual bridge.,"outputs/weekly_leader_broker_replay/main/metrics.json,outputs/weekly_leader_broker_replay/concentrated/metrics.json"
weekly_leader_entry,weekly_leader_broker_replay_available,False,soft,"{'main_status': None, 'main_cagr': None, 'concentrated_status': None, 'concentrated_cagr': None}",completed account-like replay,"New-leader entry ideas should be judged by broker-ledger metrics, not latest snapshot recommendations.","outputs/weekly_leader_broker_replay/main/metrics.json,outputs/weekly_leader_broker_replay/concentrated/metrics.json"
stress,stress_windows_backtested,False,hard,not_available,2020/2022/momentum/rate/vix stress windows,Policy challenger needs monthly equity and allocation series before stress gates can pass.,
