policy_id,portfolio,precedence,candidate_id,policy_variant,evidence_type,source,production_ready,activation_stage,metrics_valid,invalid_reason,target_pass,cagr,cagr_target,cagr_gap_pp,max_dd,max_dd_target,max_dd_gap_pp,sharpe,avg_turnover_monthly,delta_cagr_pp,delta_max_dd_pp,delta_sharpe,fusion_score,priority_count,diagnostic_action,autolearning_status,macro_latest_risk_state,macro_latest_style_state,dependencies,conflict_scope,notes
position_hard_stop_distribution,main,100,,,diagnostic,outputs/historical_trade_journey/historical_decision_priorities.csv,False,shadow_watch,True,,False,0.21841389129066835,0.3,8.1586,-0.28621917066524416,-0.15,13.6219,1.0556328995259578,,0.0,0.0,0.0,-24.0501,166,tighten_entry_or_fast_exit,,,,Requires trade-level reason attribution before production activation.,Overrides long-hold and shakeout rules when hard exits trigger.,Historical journey found quick-loss patterns; entry gates or fast exits should be tightened.
position_hard_stop_distribution,concentrated,100,concentrated_broker_position_risk_replay,,production,sidecar:outputs/broker_position_risk_replay/concentrated/metrics.json,True,reject_current_form,True,,False,0.23736646901730918,0.5,26.2634,-0.45245331096576913,-0.18,27.2453,1.0159087431030618,,-12.0204,-8.5056,-0.1881,-94.7483,,,,,,"Requires account-ledger target pass, stress review, liquidity review, and human approval before production activation.",Overrides 50% conviction sizing when a position breaks.,Concentrated hard-stop evidence near the 50% CAGR / -18% MaxDD goal.
macro_crisis_cash_ladder,main,95,,fast_reentry,monthly_proxy,outputs/crisis_reentry_replay/metrics.json#best_by_cagr,False,confirm_with_production_compatible_replay,True,,True,0.3068059750477161,0.3,0.0,-0.11501675968454628,-0.15,0.0,1.9249771671337206,0.4996780456805103,8.8392,17.1202,0.8693,68.7171,,,,,,Requires macro_policy_engine risk states and production-compatible cash accounting.,Overrides idle cash redeploy and new risk-on adds in red/crisis regimes.,Crisis cash ladder plus staged bargain re-entry.
stale_leader_trim,main,90,,,diagnostic,outputs/historical_trade_journey/historical_decision_priorities.csv,False,shadow_watch,True,,False,0.21841389129066835,0.3,8.1586,-0.28621917066524416,-0.15,13.6219,1.0556328995259578,,0.0,0.0,0.0,-24.0501,6,review_trim_or_exit,,,,Requires relative-strength underperformance and no shakeout veto.,Can be delayed by shakeout_hold_veto; yields to hard exits.,Historical journey found stale leaders that should be reviewed for half-trim or exit.
shakeout_hold_veto,main,86,,,diagnostic,outputs/shakeout_breakdown_study/pattern_summary.json,False,shadow_watch,True,,False,0.21841389129066835,0.3,8.1586,-0.28621917066524416,-0.15,13.6219,1.0556328995259578,,0.0,0.0,0.0,-24.0501,1316,shakeout_veto_candidate,,,,"Needs shakeout/distribution classifier with volume, RS recovery, sector context, and fundamental deterioration flags.",Cannot override hard stops or confirmed distribution.,Protects valid shake-outs from soft stale trims; not yet hard-wired to production exits.
monster_early_staged_sizing,main,80,,,diagnostic,outputs/winner_onset_study/pattern_summary.json,False,shadow_watch,True,,False,0.21841389129066835,0.3,8.1586,-0.28621917066524416,-0.15,13.6219,1.0556328995259578,,0.0,0.0,0.0,-24.0501,26,refine_monster_entry_pattern,,,,Requires conversion from event-level onset evidence into portfolio-level challenger replay.,Can support monster staged sizing only after macro/risk/liquidity gates pass.,Winner-onset study is available to refine early monster entry patterns without ticker hardcoding.
monster_early_staged_sizing,concentrated,80,monster_lifecycle_review_concentrated,,historical_replay,sidecar:outputs/monster_lifecycle_review_concentrated/metrics.json,False,conditional_defense_only,True,,False,0.14589283300653388,0.5,35.4107,-0.2671078760338871,-0.18,8.7108,0.8948137926953162,0.2828172397490799,-21.1678,10.0289,-0.3092,-82.4253,,,,,,Requires weekly/intramonth validation before production activation.,Conflicts with hard stops and macro crisis defense.,Concentrated staged monster sizing up to the 50% policy cap.
long_winner_hold_template,main,76,,,diagnostic,outputs/historical_trade_journey/historical_decision_priorities.csv,False,shadow_watch,True,,False,0.21841389129066835,0.3,8.1586,-0.28621917066524416,-0.15,13.6219,1.0556328995259578,,0.0,0.0,0.0,-24.0501,165,preserve_or_repair_winner_hold,,,,"Requires structural theme, no hard distribution, and no stale-leader breakdown.","Yields to stale_leader_trim, hard stops, and crisis defense.",Historical journey found short big winners and long-winner templates that should reduce premature exits.
idle_cash_redeploy,main,70,,cash0.00_cap0.33,monthly_proxy,outputs/main_cash_drag_replay/summary.json#best_by_cagr,False,confirm_with_production_compatible_replay,True,,True,0.3484967250897333,0.3,0.0,-0.11897699832034947,-0.15,0.0,1.8468507104653387,0.4797620884357189,13.0083,16.7242,0.7912,74.6417,,,,,,Blocked by macro crisis cash ladder; allowed in green/recovery regimes only.,Conflicts with crisis cash floors and confirmed monster stage funding.,Redeploy normal-market idle cash while respecting single-name caps.
style_macro_router,main,64,main_v2_historical_replay,,historical_replay,sidecar:outputs/main_v2_backtest/metrics.json,False,shadow_watch,True,,False,0.20809410691661978,0.3,9.1906,-0.2723518453913132,-0.15,12.2352,0.9859521318861042,0.4907965890730982,-1.032,1.3867,-0.0697,-22.7742,,,,,,Requires style-regime monthly attribution and no regression versus production.,Determines opportunity style before monster/stale rules act.,Main v2 sleeve router for core/future/early style allocation.
