priority,source,book,ticker,action,journey_tag,entry_date,exit_date,status,months_held,total_return,recent_3m_return,max_weight,reason
100,holding_history,lifecycle_review_overlay_main,CEG,review_trim_or_exit,open_stale_watch,2025-06-30,2026-02-27,open,9,-0.11538132543629576,-0.24497495737357777,0.1579429417895009,historical_open_stale_watch
100,holding_history,lifecycle_review_overlay_main,NVDA,review_trim_or_exit,open_stale_watch,2025-06-30,2026-02-27,open,9,0.19887681947948854,-0.09778232561878275,0.33,historical_open_stale_watch
100,holding_history,production_main,APH,review_trim_or_exit,open_stale_watch,2025-07-31,2026-02-27,open,8,0.24049537620738715,-0.05061258990904649,0.065833582820275,historical_open_stale_watch
100,holding_history,production_main,BKNG,review_trim_or_exit,open_stale_watch,2024-08-30,2026-02-27,open,19,0.270591515068656,-0.09759115510199423,0.1007435896518453,historical_open_stale_watch
100,holding_history,lifecycle_review_overlay_main,GOOGL,review_trim_or_exit,open_stale_watch,2025-07-31,2026-02-27,open,8,0.5038123619035615,-0.10436742464295223,0.2531816386909274,historical_open_stale_watch
85,holding_history,monster_lifecycle_concentrated,INTC,study_premature_exit_or_fast_capture,short_big_win_review,2025-11-28,2026-01-30,closed,3,0.20107673457968067,0.20107673457968067,0.1041666666666666,historical_short_big_win_review
85,holding_history,monster_lifecycle_main,INTC,study_premature_exit_or_fast_capture,short_big_win_review,2025-11-28,2026-01-30,closed,3,0.20107673457968067,0.20107673457968067,0.064516129032258,historical_short_big_win_review
85,holding_history,main_v2_research,LRCX,study_premature_exit_or_fast_capture,short_big_win_review,2019-08-30,2019-10-31,closed,3,0.20385638283204655,0.20385638283204655,0.15,historical_short_big_win_review
85,holding_history,main_v2_research,LAD,study_premature_exit_or_fast_capture,short_big_win_review,2019-09-30,2019-09-30,closed,1,0.20599118320179,0.20599118320179,0.0068695205310288,historical_short_big_win_review
85,holding_history,production_main,CSGP,study_premature_exit_or_fast_capture,short_big_win_review,2020-06-30,2020-06-30,closed,1,0.2060132004315265,0.2060132004315265,0.0301223185627916,historical_short_big_win_review
85,holding_history,production_main,TECH,study_premature_exit_or_fast_capture,short_big_win_review,2020-11-30,2021-01-29,closed,3,0.2068987352286591,0.2068987352286591,0.0558305327821938,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,BKNG,study_premature_exit_or_fast_capture,short_big_win_review,2024-08-30,2024-09-30,closed,2,0.20738258563461764,0.20738258563461764,1.0,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,CBRE,study_premature_exit_or_fast_capture,short_big_win_review,2020-10-30,2020-12-31,closed,3,0.21153851624143338,0.21153851624143338,0.1777377117164555,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,ALSN,study_premature_exit_or_fast_capture,short_big_win_review,2024-07-31,2024-09-30,closed,3,0.21394564961822127,0.21394564961822127,0.0866073835821169,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,MKTX,study_premature_exit_or_fast_capture,short_big_win_review,2019-04-30,2019-06-28,closed,3,0.2171774402157145,0.2171774402157145,0.1864111129819039,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,HALO,study_premature_exit_or_fast_capture,short_big_win_review,2024-06-28,2024-07-31,closed,2,0.21749953493997598,0.21749953493997598,0.0738137785805197,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,MELI,study_premature_exit_or_fast_capture,short_big_win_review,2020-06-30,2020-07-31,closed,2,0.218274111675127,0.218274111675127,0.5106281139358497,historical_short_big_win_review
85,holding_history,monster_lifecycle_main,NEM,study_premature_exit_or_fast_capture,short_big_win_review,2025-08-29,2025-10-31,closed,3,0.2193407180884972,0.2193407180884972,0.0427807486631016,historical_short_big_win_review
85,holding_history,production_main,RNG,study_premature_exit_or_fast_capture,short_big_win_review,2020-04-30,2020-04-30,closed,1,0.22109499609668748,0.22109499609668748,0.0254444210545034,historical_short_big_win_review
85,holding_history,main_v2_research,TSCO,study_premature_exit_or_fast_capture,short_big_win_review,2020-04-30,2020-04-30,closed,1,0.22120513025695998,0.22120513025695998,0.1146784951070964,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,CRWD,study_premature_exit_or_fast_capture,short_big_win_review,2021-05-28,2021-07-30,closed,3,0.22393946355748184,0.22393946355748184,0.5000000000000001,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,PANW,study_premature_exit_or_fast_capture,short_big_win_review,2020-11-30,2021-01-29,closed,3,0.22667108783574208,0.22667108783574208,0.1741420793937916,historical_short_big_win_review
85,holding_history,production_main,PANW,study_premature_exit_or_fast_capture,short_big_win_review,2020-11-30,2021-01-29,closed,3,0.22667108783574208,0.22667108783574208,0.029883887457606,historical_short_big_win_review
85,holding_history,main_v2_research,CIEN,study_premature_exit_or_fast_capture,short_big_win_review,2025-11-28,2025-11-28,closed,1,0.22926626087970292,0.22926626087970292,0.0575094061665181,historical_short_big_win_review
85,holding_history,main_v2_research,THC,study_premature_exit_or_fast_capture,short_big_win_review,2025-04-30,2025-05-30,closed,2,0.23237477189302402,0.23237477189302402,0.1252586498071769,historical_short_big_win_review
85,holding_history,main_v2_research,COHR,study_premature_exit_or_fast_capture,short_big_win_review,2025-12-31,2025-12-31,closed,1,0.23409571546189323,0.23409571546189323,0.0359347306682532,historical_short_big_win_review
85,holding_history,production_main,VIRT,study_premature_exit_or_fast_capture,short_big_win_review,2022-01-31,2022-02-28,closed,2,0.23461793300345568,0.23461793300345568,0.0313203205932616,historical_short_big_win_review
85,holding_history,main_v2_research,DKS,study_premature_exit_or_fast_capture,short_big_win_review,2024-02-29,2024-02-29,closed,1,0.24154994520082917,0.24154994520082917,0.0609604409085566,historical_short_big_win_review
85,holding_history,main_v2_research,SBUX,study_premature_exit_or_fast_capture,short_big_win_review,2019-04-30,2019-06-28,closed,3,0.24335961498816872,0.24335961498816872,0.1148883882021145,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,XPO,study_premature_exit_or_fast_capture,short_big_win_review,2020-10-30,2020-12-31,closed,3,0.24444447712531248,0.24444447712531248,0.0778273241844514,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,LEA,study_premature_exit_or_fast_capture,short_big_win_review,2020-10-30,2020-12-31,closed,3,0.24474573147331347,0.24474573147331347,0.067179090026625,historical_short_big_win_review
85,holding_history,production_main,LNG,study_premature_exit_or_fast_capture,short_big_win_review,2022-01-31,2022-02-28,closed,2,0.24769096892934006,0.24769096892934006,0.0441398880049785,historical_short_big_win_review
85,holding_history,production_main,VRTX,study_premature_exit_or_fast_capture,short_big_win_review,2020-03-31,2020-05-29,closed,3,0.2515078670983899,0.2515078670983899,0.0523461940561942,historical_short_big_win_review
