policy_id,portfolio,precedence,candidate_id,policy_variant,evidence_type,source,production_ready,activation_stage,metrics_valid,invalid_reason,target_pass,cagr,cagr_target,cagr_gap_pp,max_dd,max_dd_target,max_dd_gap_pp,sharpe,avg_turnover_monthly,delta_cagr_pp,delta_max_dd_pp,delta_sharpe,fusion_score,priority_count,diagnostic_action,autolearning_status,macro_latest_risk_state,macro_latest_style_state,dependencies,conflict_scope,notes
position_hard_stop_distribution,main,100,,,diagnostic,outputs/historical_trade_journey/historical_decision_priorities.csv,False,shadow_watch,True,,False,0.18440300245186636,0.3,11.5597,-0.3192510867364303,-0.15,16.9251,0.8484185422459798,,0.0,0.0,0.0,-31.1042,159,tighten_entry_or_fast_exit,,,,Requires trade-level reason attribution before production activation.,Overrides long-hold and shakeout rules when hard exits trigger.,Historical journey found quick-loss patterns; entry gates or fast exits should be tightened.
position_hard_stop_distribution,concentrated,100,concentrated_broker_position_risk_replay,,production,sidecar:outputs/broker_position_risk_replay/concentrated/metrics.json,True,reject_current_form,True,,False,0.26933682797577174,0.5,23.0663,-0.31773890888777,-0.18,13.7739,1.1639386439602504,,-8.1693,-9.0963,-0.1357,-69.7771,,,,,,"Requires account-ledger target pass, stress review, liquidity review, and human approval before production activation.",Overrides 50% conviction sizing when a position breaks.,Concentrated hard-stop evidence near the 50% CAGR / -18% MaxDD goal.
macro_crisis_cash_ladder,main,95,,fast_reentry,monthly_proxy,outputs/crisis_reentry_replay/metrics.json#best_by_cagr,False,confirm_with_production_compatible_replay,True,,True,0.32081681701567044,0.3,0.0,-0.13653185235973586,-0.15,0.0,1.876603815519096,0.5411077120476872,13.6414,18.2719,1.0282,77.5541,,,,,,Requires macro_policy_engine risk states and production-compatible cash accounting.,Overrides idle cash redeploy and new risk-on adds in red/crisis regimes.,Crisis cash ladder plus staged bargain re-entry.
stale_leader_trim,main,90,,,diagnostic,outputs/historical_trade_journey/historical_decision_priorities.csv,False,shadow_watch,True,,False,0.18440300245186636,0.3,11.5597,-0.3192510867364303,-0.15,16.9251,0.8484185422459798,,0.0,0.0,0.0,-31.1042,3,review_trim_or_exit,,,,Requires relative-strength underperformance and no shakeout veto.,Can be delayed by shakeout_hold_veto; yields to hard exits.,Historical journey found stale leaders that should be reviewed for half-trim or exit.
shakeout_hold_veto,main,86,,,diagnostic,outputs/shakeout_breakdown_study/pattern_summary.json,False,shadow_watch,True,,False,0.18440300245186636,0.3,11.5597,-0.3192510867364303,-0.15,16.9251,0.8484185422459798,,0.0,0.0,0.0,-31.1042,1332,shakeout_veto_candidate,,,,"Needs shakeout/distribution classifier with volume, RS recovery, sector context, and fundamental deterioration flags.",Cannot override hard stops or confirmed distribution.,Protects valid shake-outs from soft stale trims; not yet hard-wired to production exits.
monster_early_staged_sizing,main,80,monster_lifecycle_review_main,,historical_replay,sidecar:outputs/monster_lifecycle_review_main/metrics.json,False,conditional_defense_only,True,,False,0.15547740412926614,0.3,14.4523,-0.25039981418694657,-0.15,10.04,0.8846193938705078,0.2537942133032497,-2.8926,6.8851,0.0362,-24.3366,,,,,,"Requires hard-stop/distribution, macro-crisis, liquidity, and minimum market-cap gates.",Conflicts with macro crisis defense and hard exits.,"Staged monster entry, long-hold winners, stale-leader exits for main."
monster_early_staged_sizing,concentrated,80,monster_lifecycle_review_concentrated,,historical_replay,sidecar:outputs/monster_lifecycle_review_concentrated/metrics.json,False,reject_current_form,True,,False,0.18826767084131202,0.5,31.1732,-0.2523033265105463,-0.18,7.2303,1.0254126714836573,0.28191217187687556,-16.2762,-2.5528,-0.2742,-80.2043,,,,,,Requires weekly/intramonth validation before production activation.,Conflicts with hard stops and macro crisis defense.,Concentrated staged monster sizing up to the 50% policy cap.
long_winner_hold_template,main,76,lifecycle_review_overlay_main,,historical_replay,sidecar:outputs/lifecycle_review_overlay_main/metrics.json,False,candidate_for_combination,True,,False,0.21514164762879706,0.3,8.4858,-0.28098728890316893,-0.15,13.0987,1.0520870300334078,0.3480803604488278,3.0739,3.8264,0.2037,-10.8868,,,,,,Requires stale-leader and hard-stop vetoes to avoid holding broken former leaders.,Conflicts with stale-leader trim and hard stops.,Monthly lifecycle overlay to reduce unnecessary churn in long winners.
idle_cash_redeploy,main,70,,cash0.00_cap0.18,monthly_proxy,outputs/main_cash_drag_replay/summary.json#best_by_cagr,False,confirm_with_production_compatible_replay,True,,True,0.37056733459361846,0.3,0.0,-0.13397035466785956,-0.15,0.0,1.847556729931794,0.5165265869643442,18.6164,18.5281,0.9991,85.4157,,,,,,Blocked by macro crisis cash ladder; allowed in green/recovery regimes only.,Conflicts with crisis cash floors and confirmed monster stage funding.,Redeploy normal-market idle cash while respecting single-name caps.
style_macro_router,main,64,main_v2_historical_replay,,historical_replay,sidecar:outputs/main_v2_backtest/metrics.json,False,candidate_for_combination,True,,False,0.21480459450659217,0.3,8.5195,-0.2720235719840278,-0.15,12.2024,1.0064587539930296,0.4830871490289967,3.0402,4.7228,0.158,-9.33,,,,,,Requires style-regime monthly attribution and no regression versus production.,Determines opportunity style before monster/stale rules act.,Main v2 sleeve router for core/future/early style allocation.
