rebalance_date,ticker,weight,Name,sector,portfolio_sleeve_label,portfolio_selection_path,market_circuit_state,market_circuit_multiplier,market_circuit_source_rebalance_date,market_circuit_target_book
2019-05-31,CASH,0.168,Cash,Cash,cash,,caution,0.6,2019-05-31,True
2019-05-31,HD,0.041868594565680234,HOME DEPOT INC,Consumer Discretionary,core_compounder,,caution,0.6,2019-05-31,True
2019-05-31,UNH,0.041868594565680234,UNITEDHEALTH GROUP INC,Health Care,core_compounder,,caution,0.6,2019-05-31,True
2019-05-31,SBUX,0.03805460636139762,STARBUCKS CORP,Consumer Discretionary,core_compounder,,caution,0.6,2019-05-31,True
2019-05-31,AMT,0.03024,AMERICAN TOWER REIT CORP,Real Estate,core_compounder,,caution,0.6,2019-05-31,True
2019-05-31,NOW,0.03024,SERVICENOW INC,Information Technology,core_compounder,,caution,0.6,2019-05-31,True
2019-05-31,DHR,0.029552357483786276,DANAHER CORP,Health Care,core_compounder,,caution,0.6,2019-05-31,True
2019-05-31,PEG,0.02609099035005816,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,core_compounder,,caution,0.6,2019-05-31,True
2019-05-31,KO,0.02003053175808972,COCA-COLA,Consumer Staples,core_compounder,,caution,0.6,2019-05-31,True
2019-05-31,SHOP,0.01941970485029622,Shopify,Software,core_compounder,,caution,0.6,2019-05-31,True
2019-05-31,AZO,0.01853078312674824,AUTOZONE INC,Consumer Discretionary,core_compounder,,caution,0.6,2019-05-31,True
2019-05-31,SUI,0.01733930240144142,SUN COMMUNITIES REIT INC,Real Estate,core_compounder,,caution,0.6,2019-05-31,True
2019-05-31,CMS,0.01728,CMS ENERGY CORP,Utilities,core_compounder,,caution,0.6,2019-05-31,True
2019-05-31,ELS,0.01728,EQUITY LIFESTYLE PROPERTIES REIT I,Real Estate,core_compounder,,caution,0.6,2019-05-31,True
2019-05-31,FDS,0.01728,FACTSET RESEARCH SYSTEMS INC,Financials,core_compounder,,caution,0.6,2019-05-31,True
2019-05-31,HEI,0.0172531776853833,HEICO CORP,Industrials,core_compounder,,caution,0.6,2019-05-31,True
2019-05-31,DG,0.01718543384012814,DOLLAR GENERAL CORP,Consumer Staples,core_compounder,,caution,0.6,2019-05-31,True
2019-05-31,ORLY,0.01652354452318806,OREILLY AUTOMOTIVE INC,Consumer Discretionary,core_compounder,,caution,0.6,2019-05-31,True
2019-05-31,CSX,0.015962378488122,CSX CORP,Industrials,core_compounder,,caution,0.6,2019-05-31,True
2019-06-03,CASH,0.07,Cash,Cash,cash,,crisis,0.25,2019-05-31,True
2019-06-03,HD,0.0174452477357001,HOME DEPOT INC,Consumer Discretionary,core_compounder,,crisis,0.25,2019-05-31,True
2019-06-03,UNH,0.0174452477357001,UNITEDHEALTH GROUP INC,Health Care,core_compounder,,crisis,0.25,2019-05-31,True
2019-06-03,SBUX,0.015856085983915674,STARBUCKS CORP,Consumer Discretionary,core_compounder,,crisis,0.25,2019-05-31,True
2019-06-03,AMT,0.0126,AMERICAN TOWER REIT CORP,Real Estate,core_compounder,,crisis,0.25,2019-05-31,True
2019-06-03,NOW,0.0126,SERVICENOW INC,Information Technology,core_compounder,,crisis,0.25,2019-05-31,True
2019-06-03,DHR,0.01231348228491095,DANAHER CORP,Health Care,core_compounder,,crisis,0.25,2019-05-31,True
