rebalance_date,ticker,action,reason,stage,score,bad_months,distribution_risk,theme_event_risk,theme_structural_growth
2019-05-31,SBAC,enter,monster_scout,scout,1.0042668924223044,0,0.5259785323702689,0.35,0.35
2019-05-31,BR,enter,monster_scout,scout,0.9680266494221269,0,0.5259785323702689,0.35,0.35
2019-05-31,NOW,enter,monster_scout,scout,0.8873570782872756,0,0.5259785323702689,0.35,1.0
2019-06-28,SBAC,hold,hold,scout,0.69046143834066,0,0.0516149525445256,0.35,0.35
2019-06-28,BR,hold,hold,confirm,0.8450050110217104,0,0.2635168315675258,0.35,0.35
2019-06-28,NOW,hold,hold,confirm,0.7629142867647333,0,0.0516149525445256,0.35,1.0
2019-06-28,ARMK,enter,monster_scout,scout,1.076300099783995,0,0.8476233879773188,0.35,0.35
2019-06-28,ALLE,enter,monster_scout,scout,1.0732695991572674,0,0.2003856204018758,0.35,0.35
2019-06-28,NOC,enter,monster_scout,scout,1.0254538764218444,0,0.0516149525445256,0.78,0.1
2019-07-31,SBAC,hold,hold,confirm,0.7928551901017911,0,0.2846848712565041,0.35,0.35
2019-07-31,BR,hold,watch_stale,confirm,0.10913468143414695,1,0.4012626939631274,0.35,0.35
2019-07-31,NOW,hold,watch_stale,confirm,0.004567574317624723,1,0.2846848712565041,0.35,1.0
2019-07-31,ARMK,hold,hold,confirm,1.0205576518569108,0,0.6705674607467331,0.35,0.35
2019-07-31,ALLE,hold,watch_stale,scout,0.0844181399647313,1,0.2846848712565041,0.35,0.35
2019-07-31,NOC,hold,hold,confirm,0.8927284040576005,0,0.2846848712565041,0.78,0.1
2019-07-31,CTAS,enter,monster_scout,scout,1.1280396364429508,0,0.2846848712565041,0.35,0.35
2019-07-31,AIZ,enter,monster_scout,scout,1.0452481123791422,0,0.2846848712565041,0.35,0.35
2019-08-30,SBAC,hold,hold,confirm,0.6589750640587126,0,0.2296455592676155,0.35,0.35
2019-08-30,BR,exit,stale_leader_review_exit,confirm,,,,,
2019-08-30,NOW,hold,watch_stale,confirm,0.15780380724871818,2,0.2296455592676155,0.35,1.0
2019-08-30,ARMK,hold,hold,winner,0.8387853331445103,0,0.3728187938499968,0.35,0.35
2019-08-30,ALLE,exit,stale_leader_review_exit,scout,,,,,
2019-08-30,NOC,hold,hold,confirm,0.7767888512277146,0,0.2296455592676155,0.78,0.1
2019-08-30,CTAS,hold,hold,confirm,1.0820315440289554,0,0.2296455592676155,0.35,0.35
2019-08-30,AIZ,hold,hold,scout,0.6184154337475927,0,0.2296455592676155,0.35,0.35
2019-08-30,EW,enter,monster_scout,scout,1.1767653589083822,0,0.2296455592676155,0.35,0.35
2019-08-30,TGT,enter,monster_scout,scout,1.1564308351931145,0,0.442897092913137,0.35,0.35
2019-09-30,SBAC,hold,watch_stale,confirm,-0.13242986288975805,1,0.1942480183164893,0.35,0.35
2019-09-30,NOW,exit,stale_leader_review_exit,confirm,,,,,
2019-09-30,ARMK,trim,distribution_trim,monster,0.970677020392062,0,0.9902602680655184,0.35,0.35
2019-09-30,NOC,hold,hold,winner,0.865618368111178,0,0.1942480183164893,0.78,0.1
2019-09-30,CTAS,hold,hold,winner,0.9405471547182122,0,0.1942480183164893,0.35,0.35
2019-09-30,AIZ,hold,hold,confirm,0.8622900077580822,0,0.1942480183164893,0.35,0.35
2019-09-30,EW,hold,hold,confirm,1.1336339089548264,0,0.1942480183164893,0.35,0.35
2019-09-30,TGT,hold,hold,confirm,1.1706631373459055,0,0.1942480183164893,0.35,0.35
2019-09-30,SYY,enter,monster_scout,scout,1.2702856493699466,0,0.1942480183164893,0.35,0.35
2019-10-31,SBAC,exit,stale_leader_review_exit,confirm,,,,,
2019-10-31,ARMK,hold,hold,monster,0.8954989995966571,0,0.5880148176107874,0.35,0.35
2019-10-31,NOC,trim,event_theme_half_life_trim,winner,-0.25154546594264754,1,0.0045461999719623,0.78,0.1
2019-10-31,CTAS,hold,hold,winner,0.6282010696531726,0,0.0045461999719623,0.35,0.35
2019-10-31,AIZ,hold,hold,confirm,0.6901129971755653,0,0.0214093933543012,0.35,0.35
2019-10-31,EW,hold,hold,confirm,0.7565634747463933,0,0.1580501869593507,0.35,0.35
2019-10-31,TGT,hold,hold,winner,0.9799750184641753,0,0.0866093318662694,0.35,0.35
2019-10-31,SYY,hold,hold,confirm,1.4276687892299476,0,0.0045461999719623,0.35,0.35
2019-10-31,AAPL,enter,monster_scout,scout,1.3323469294020183,0,0.2496747529229648,0.35,0.35
2019-11-29,ARMK,trim,distribution_trim,monster,0.37535535214051013,1,0.6863512107042836,0.35,0.35
2019-11-29,NOC,trim,event_theme_half_life_trim,winner,-0.5119659589801024,2,0.0887855024560437,0.78,0.1
2019-11-29,CTAS,hold,watch_stale,winner,-0.21285531575304645,1,0.0887855024560437,0.35,0.35
2019-11-29,AIZ,hold,watch_stale,confirm,0.3416077695479867,1,0.0887855024560437,0.35,0.35
2019-11-29,EW,hold,hold,confirm,0.803349751286886,0,0.0887855024560437,0.35,0.35
2019-11-29,TGT,hold,watch_stale,winner,0.31067510564934514,1,0.4643415404388311,0.35,0.35
2019-11-29,SYY,hold,hold,confirm,0.7133032983478195,0,0.0887855024560437,0.35,0.35
2019-11-29,AAPL,hold,hold,confirm,1.0752682719658242,0,0.3134981762452857,0.35,0.35
2019-12-31,ARMK,exit,stale_leader_review_exit,monster,,,,,
2019-12-31,NOC,trim,event_theme_half_life_trim,winner,-0.7158451028773529,3,0.2348553780376331,0.78,0.1
2019-12-31,CTAS,exit,stale_leader_review_exit,winner,,,,,
2019-12-31,AIZ,exit,stale_leader_review_exit,confirm,,,,,
2019-12-31,EW,hold,watch_stale,confirm,0.10382940572659938,1,0.2348553780376331,0.35,0.35
2019-12-31,TGT,hold,hold,winner,0.4616911358779593,0,0.2348553780376331,0.35,0.35
2019-12-31,SYY,hold,hold,confirm,0.7092609436004581,0,0.2348553780376331,0.35,0.35
2019-12-31,AAPL,hold,hold,winner,0.8813474690233082,0,0.4902357184881755,0.35,0.35
2019-12-31,UNH,enter,monster_scout,scout,1.285075647968888,0,0.2348553780376331,0.35,0.35
2019-12-31,HCA,enter,monster_scout,scout,1.1645725926375685,0,0.2348553780376331,0.35,0.35
2019-12-31,ELV,enter,monster_scout,scout,1.1559889639123775,0,0.2348553780376331,0.35,0.35
2020-01-31,NOC,trim,event_theme_half_life_trim,winner,0.2825229323767857,4,0.5233173424357056,0.78,0.1
2020-01-31,EW,exit,stale_leader_review_exit,confirm,,,,,
2020-01-31,TGT,hold,watch_stale,winner,-0.34844294863115655,1,0.5233173424357056,0.35,0.35
2020-01-31,SYY,hold,watch_stale,confirm,0.03608761445031322,1,0.5233173424357056,0.35,0.35
2020-01-31,AAPL,hold,hold,winner,0.6019369453008627,0,0.5233173424357056,0.35,0.35
2020-01-31,UNH,hold,watch_stale,scout,0.21342576120361317,1,0.5233173424357056,0.35,0.35
2020-01-31,HCA,hold,watch_stale,scout,0.04626002946879376,1,0.5233173424357056,0.35,0.35
2020-01-31,ELV,hold,watch_stale,scout,-0.30964918391237395,1,0.5233173424357056,0.35,0.35
2020-01-31,ADSK,enter,monster_scout,scout,1.3159477472761172,0,0.5233173424357056,0.35,0.35
2020-02-28,NOC,trim,event_theme_half_life_trim,winner,-0.3879980998013352,5,0.574271932049267,0.78,0.1
2020-02-28,TGT,exit,stale_leader_review_exit,winner,,,,,
2020-02-28,SYY,exit,stale_leader_review_exit,confirm,,,,,
