label,manager_name,cik10,active,verified_cik,user_priority,external_performance_2y,performance_26q1,aum_13f_usd,holdings_count,performance_rank,allocation_tier,last_review_date,next_review_due,notes
SITUATIONAL,Situational Awareness LP,0002045724,true,true,1,,0.3642,13680000000,24,,high_conviction,2026-05-19,2027-05-19,"User-requested AI-focused manager. SEC submissions show 13F-HR filings for 2024Q4 through 2026Q1. External performance/AUM fields are manual review inputs and must not override repo manager-alpha learning."
DUQUESNE,Duquesne Family Office LLC,0001536411,true,true,2,,,,,,core_manager,2026-05-19,2027-05-19,"Druckenmiller-related seed manager. Use repo-learned manager_quality_score before overweighting."
BRK,Berkshire Hathaway Inc,0001067983,true,true,3,,,,,,baseline_manager,2026-05-19,2027-05-19,"Large baseline 13F manager. Useful as validation data but not automatically a high-alpha signal."
BRIDGEWATER,Bridgewater Associates LP,0001350694,true,true,10,,,,,,macro_breadth,2026-05-19,2027-05-19,"SEC submissions verified with recent 13F-HR history. Macro/broad allocation manager; use as context and manager-quality learned evidence, not direct alpha."
RENAISSANCE,Renaissance Technologies LLC,0001037389,true,true,11,,,,,,quant_breadth,2026-05-19,2027-05-19,"SEC submissions verified with recent 13F-HR history. Quant breadth manager; useful for coverage, but crowding and turnover must be audited."
DESHAW,D. E. Shaw & Co. Inc,0001009207,true,true,12,,,,,,quant_breadth,2026-05-19,2027-05-19,"SEC submissions verified with recent 13F-HR history. Quant breadth manager; use repo manager-alpha before weighting."
CITADEL,Citadel Advisors LLC,0001423053,true,true,13,,,,,,multi_strategy,2026-05-19,2027-05-19,"SEC submissions verified with recent 13F-HR history. Multi-strategy data should be treated as support/crowding evidence only."
MILLENNIUM,Millennium Management LLC,0001273087,true,true,14,,,,,,multi_strategy,2026-05-19,2027-05-19,"SEC submissions verified with recent 13F-HR history. Multi-manager portfolio; use breadth/flow diagnostics, not standalone selection."
TIGERGLOBAL,Tiger Global Management LLC,0001167483,true,true,15,,,,,,growth_manager,2026-05-19,2027-05-19,"SEC submissions verified with recent 13F-HR history. Growth manager; useful for future-winner support overlay."
COATUE,Coatue Management LLC,0001135730,true,true,16,,,,,,growth_manager,2026-05-19,2027-05-19,"SEC submissions verified with recent 13F-HR history. Growth/tech manager; useful for technology leadership validation."
LONEPINE,Lone Pine Capital LLC,0001061165,true,true,17,,,,,,growth_manager,2026-05-19,2027-05-19,"SEC submissions verified with recent 13F-HR history. Growth manager; manager-quality must be learned before overweighting."
VIKING,Viking Global Investors LP,0001103804,true,true,18,,,,,,long_short_core,2026-05-19,2027-05-19,"SEC submissions verified with recent 13F-HR history. Core long/short manager; support evidence only."
BAUPOST,Baupost Group LLC/MA,0001061768,true,true,19,,,,,,value_manager,2026-05-19,2027-05-19,"SEC submissions verified with recent 13F-HR history. Value manager; useful for turnaround/value evidence diagnostics."
PERSHING,Pershing Square Capital Management LP,0001336528,true,true,20,,,,,,activist_concentrated,2026-05-19,2027-05-19,"SEC submissions verified with recent 13F-HR history. Concentrated activist-style manager; use as watchlist support."
SCION,Scion Asset Management LLC,0001649339,true,true,21,,,,,,concentrated_manager,2026-05-19,2027-05-19,"SEC submissions verified with recent 13F-HR history. Small concentrated manager; high-noise evidence unless manager-alpha validates."
SOROS,Soros Fund Management LLC,0001029160,true,true,22,,,,,,macro_growth,2026-05-19,2027-05-19,"SEC submissions verified with recent 13F-HR history. Macro/growth evidence should stay research-only."
ARK,ARK Investment Management LLC,0001697748,true,true,23,,,,,,innovation_theme,2026-05-19,2027-05-19,"SEC submissions verified with recent 13F-HR history. Innovation-theme manager; useful for early leader/thematic support diagnostics."
APPALOOSA,Appaloosa LP,0001656456,true,true,24,,,,,,opportunistic,2026-05-19,2027-05-19,"SEC submissions verified with recent 13F-HR history. Opportunistic manager; use manager-quality and stale-13F penalty."
AQR,AQR Capital Management LLC,0001167557,true,true,25,,,,,,quant_breadth,2026-05-19,2027-05-19,"SEC submissions verified with recent 13F-HR history. Quant breadth manager; supports factor/crowding diagnostics."
BAILLIEGIFFORD,Baillie Gifford & Co,0001088875,true,true,26,,,,,,global_growth,2026-05-19,2027-05-19,"SEC submissions verified with recent 13F-HR history. Global growth manager; useful for non-US/ADR leadership support."
FMR,FMR LLC,0000315066,true,true,27,,,,,,large_active_baseline,2026-05-19,2027-05-19,"SEC submissions verified with recent 13F-HR history. Large active manager; use as breadth/context rather than direct alpha."
JANE,JANE STREET GROUP LLC,0001595888,true,true,28,,,,,,trading_breadth,2026-05-19,2027-05-19,"SEC submissions verified with recent 13F-HR history. Trading/market-making profile; keep as crowding/liquidity context only."
