ticker,Name,sector,cik10
EBAY,EBAY INC,Consumer Discretionary,0001065088
ECG,EVERUS CONSTRUCTION GROUP INC,Industrials,0002015845
ECL,ECOLAB INC,Materials,0000031462
ED,CONSOLIDATED EDISON INC,Utilities,0001047862
EFX,EQUIFAX INC,Industrials,0000033185
EG,EVEREST GROUP LTD,Financials,0001095073
EGP,EASTGROUP PROPERTIES REIT INC,Real Estate,0000049600
EHC,ENCOMPASS HEALTH CORP,Health Care,0000785161
EIX,EDISON INTERNATIONAL,Utilities,0000827052
ELS,EQUITY LIFESTYLE PROPERTIES REIT I,Real Estate,0000895417
ELV,ELEVANCE HEALTH INC,Health Care,0001156039
EME,EMCOR GROUP INC,Industrials,0000105634
EMN,EASTMAN CHEMICAL,Materials,0000915389
EMR,EMERSON ELECTRIC,Industrials,0000032604
ENTG,ENTEGRIS INC,Information Technology,0001101302
EOG,EOG RESOURCES INC,Energy,0000821189
EQH,EQUITABLE HOLDINGS INC,Financials,0001333986
EQIX,EQUINIX REIT INC,Real Estate,0001101239
EQR,EQUITY RESIDENTIAL REIT,Real Estate,0000906107
EQT,EQT CORP,Energy,0000033213
ESAB,ESAB CORP,Industrials,0001877322
ESI,ELEMENT SOLUTIONS INC,Materials,0001590714
ETN,EATON PLC,Industrials,0001551182
ETR,ENTERGY CORP,Utilities,0000065984
EVRG,EVERGY INC,Utilities,0001711269
EW,EDWARDS LIFESCIENCES CORP,Health Care,0001099800
EWBC,EAST WEST BANCORP INC,Financials,0001069157
EXC,EXELON CORP,Utilities,0001109357
EXE,EXPAND ENERGY CORP,Energy,0000895126
EXEL,EXELIXIS INC,Health Care,0000939767
EXLS,EXLSERVICE HOLDINGS INC,Industrials,0001297989
EXP,EAGLE MATERIALS INC,Materials,0000918646
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrials,0000746515
EXPE,EXPEDIA GROUP INC,Consumer Discretionary,0001324424
EXR,EXTRA SPACE STORAGE REIT INC,Real Estate,0001289490
FAF,FIRST AMERICAN FINANCIAL CORP,Financials,0001472787
FANG,DIAMONDBACK ENERGY INC,Energy,0001539838
FAST,FASTENAL,Industrials,0000815556
FCN,FTI CONSULTING INC,Industrials,0000887936
FCNCA,FIRST CITIZENS BANCSHARES INC CLAS,Financials,0000798941
FDS,FACTSET RESEARCH SYSTEMS INC,Financials,0001013237
FE,FIRSTENERGY CORP,Utilities,0001031296
FERG,FERGUSON ENTERPRISES INC,Industrials,0002011641
FFIV,F5 INC,Information Technology,0001048695
FHB,FIRST HAWAIIAN INC,Financials,0000036377
FHN,FIRST HORIZON CORP,Financials,0000036966
FICO,FAIR ISAAC CORP,Information Technology,0000814547
FITB,FIFTH THIRD BANCORP,Financials,0000035527
FIX,COMFORT SYSTEMS USA INC,Industrials,0001035983
FLEX,FLEX LTD,Information Technology,0000866374
FLS,FLOWSERVE CORP,Industrials,0000030625
FNB,FNB CORP,Financials,0000037808
FNF,FIDELITY NATIONAL FINANCIAL INC,Financials,0001331875
FOX,FOX CORP CLASS B,Communication,0001754301
FOXA,FOX CORP CLASS A,Communication,0001754301
FSLR,FIRST SOLAR INC,Information Technology,0001274494
FTAI,FTAI AVIATION LTD,Industrials,0001590364
FTI,TECHNIPFMC PLC,Energy,0001681459
FTNT,FORTINET INC,Information Technology,0001262039
FTV,FORTIVE CORP,Industrials,0001659166
FWONK,LIBERTY MEDIA FORMULA ONE SERIES C,Communication,0001560385
G,GENPACT LTD,Industrials,0001398659
GAP,GAP INC,Consumer Discretionary,0000039911
GD,GENERAL DYNAMICS CORP,Industrials,0000040533
GDDY,GODADDY INC CLASS A,Information Technology,0001609711
GE,GE AEROSPACE,Industrials,0000040545
GEHC,GE HEALTHCARE TECHNOLOGIES INC,Health Care,0001932393
GEN,GEN DIGITAL INC,Information Technology,0000849399
GEV,GE VERNOVA INC,Industrials,0001996810
GGG,GRACO INC,Industrials,0000042888
GILD,GILEAD SCIENCES INC,Health Care,0000882095
GL,GLOBE LIFE INC,Financials,0000320335
GLPI,GAMING AND LEISURE PROPERTIES REIT,Real Estate,0001575965
GLW,CORNING INC,Information Technology,0000024741
GM,GENERAL MOTORS,Consumer Discretionary,0001467858
GMED,GLOBUS MEDICAL INC CLASS A,Health Care,0001237831
GNTX,GENTEX CORP,Consumer Discretionary,0000355811
GOOG,ALPHABET INC CLASS C,Communication,0001652044
GOOGL,ALPHABET INC CLASS A,Communication,0001652044
GPC,GENUINE PARTS,Consumer Discretionary,0000040987
GRMN,GARMIN LTD,Consumer Discretionary,0001121788
GS,GOLDMAN SACHS GROUP INC,Financials,0000886982
GTES,GATES INDUSTRIAL PLC,Industrials,0001718512
GWRE,GUIDEWIRE SOFTWARE INC,Information Technology,0001528396
GXO,GXO LOGISTICS INC,Industrials,0001852244
HALO,HALOZYME THERAPEUTICS INC,Health Care,0001159036
HAYW,HAYWARD HOLDINGS INC,Industrials,0001834622
HBAN,HUNTINGTON BANCSHARES INC,Financials,0000049196
HCA,HCA HEALTHCARE INC,Health Care,0000860730
HD,HOME DEPOT INC,Consumer Discretionary,0000354950
HEI,HEICO CORP,Industrials,0000046619
HHH,HOWARD HUGHES HOLDINGS INC,Real Estate,0001981792
HIG,HARTFORD INSURANCE GROUP INC,Financials,0000874766
HII,HUNTINGTON INGALLS INDUSTRIES INC,Industrials,0001501585
HIW,HIGHWOODS PROPERTIES REIT INC,Real Estate,0000921082
HLI,HOULIHAN LOKEY INC CLASS A,Financials,0001302215
HLNE,HAMILTON LANE INC CLASS A,Financials,0001433642
HLT,HILTON WORLDWIDE HOLDINGS INC,Consumer Discretionary,0001585689
HON,HONEYWELL INTERNATIONAL INC,Industrials,0000773840
HPE,HEWLETT PACKARD ENTERPRISE,Information Technology,0001645590
HPQ,HP INC,Information Technology,0000047217
HRB,H&R BLOCK INC,Consumer Discretionary,0000012659
HSIC,HENRY SCHEIN INC,Health Care,0001000228
HST,HOST HOTELS & RESORTS REIT INC,Real Estate,0001070750
HSY,HERSHEY FOODS,Consumer Staples,0000047111
HUBB,HUBBELL INC,Industrials,0000048898
HXL,HEXCEL CORP,Industrials,0000717605
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,0000051143
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,0001571949
IDXX,IDEXX LABORATORIES INC,Health Care,0000874716
IEX,IDEX CORP,Industrials,0000832101
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Materials,0000051253
INCY,INCYTE CORP,Health Care,0000879169
INGM,INGRAM MICRO HOLDING CORP,Information Technology,0001897762
INSM,INSMED INC,Health Care,0001104506
INTU,INTUIT INC,Information Technology,0000896878
INVH,INVITATION HOMES INC,Real Estate,0001687229
IONS,IONIS PHARMACEUTICALS INC,Health Care,0000874015
IOT,SAMSARA INC CLASS A,Information Technology,0001642896
IP,INTERNATIONAL PAPER,Materials,0000051434
IQV,IQVIA HOLDINGS INC,Health Care,0001478242
IR,INGERSOLL RAND INC,Industrials,0001699150
IRM,IRON MOUNTAIN INC,Real Estate,0001020569
ISRG,INTUITIVE SURGICAL INC,Health Care,0001035267
ITT,ITT INC,Industrials,0000216228
ITW,ILLINOIS TOOL INC,Industrials,0000049826
IVZ,INVESCO LTD,Financials,0000914208
J,JACOBS SOLUTIONS INC,Industrials,0000052988
JAZZ,JAZZ PHARMACEUTICALS PLC,Health Care,0001232524
JBHT,JB HUNT TRANSPORT SERVICES INC,Industrials,0000728535
JBL,JABIL INC,Information Technology,0000898293
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,0000833444
JEF,JEFFERIES FINANCIAL GROUP INC,Financials,0000096223
JHG,JANUS HENDERSON GROUP PLC,Financials,0001274173
JHX,JAMES HARDIE INDUSTRIES PLC,Materials,0001159152
JKHY,JACK HENRY AND ASSOCIATES INC,Financials,0000779152
JLL,JONES LANG LASALLE INC,Real Estate,0001037976
JNJ,JOHNSON & JOHNSON,Health Care,0000200406
JPM,JPMORGAN CHASE & CO,Financials,0000019617
KBR,KBR INC,Industrials,0001357615
KDP,KEURIG DR PEPPER INC,Consumer Staples,0001418135
KEY,KEYCORP,Financials,0000091576
KEYS,KEYSIGHT TECHNOLOGIES INC,Information Technology,0001601046
KIM,KIMCO REALTY REIT CORP,Real Estate,0000879101
KKR,KKR AND CO INC,Financials,0001404912
KLAC,KLA CORP,Information Technology,0000319201
KMB,KIMBERLY CLARK CORP,Consumer Staples,0000055785
KMI,KINDER MORGAN INC,Energy,0001506307
KNSL,KINSALE CAPITAL GROUP INC,Financials,0001669162
KNX,KNIGHT-SWIFT TRANSPORTATION HOLDIN,Industrials,0001492691
KO,COCA-COLA,Consumer Staples,0000021344
KRC,KILROY REALTY REIT CORP,Real Estate,0001025996
KRMN,KARMAN HOLDINGS INC,Industrials,0002040127
KVUE,KENVUE INC,Consumer Staples,0001944048
L,LOEWS CORP,Financials,0000060086
LAD,LITHIA MOTORS INC CLASS A,Consumer Discretionary,0001023128
LAMR,LAMAR ADVERTISING COMPANY CLAS,Real Estate,0001090425
LAZ,LAZARD INC,Financials,0001311370
LDOS,LEIDOS HOLDINGS INC,Industrials,0001336920
LEA,LEAR CORP,Consumer Discretionary,0000842162
LECO,LINCOLN ELECTRIC HOLDINGS INC,Industrials,0000059527
LFUS,LITTELFUSE INC,Information Technology,0000889331
LH,LABCORP HOLDINGS INC,Health Care,0000920148
LHX,L3HARRIS TECHNOLOGIES INC,Industrials,0000202058
LII,LENNOX INTERNATIONAL INC,Industrials,0001069202
LIN,LINDE PLC,Materials,0001707925
LINE,LINEAGE INC,Real Estate,0001868159
LITE,LUMENTUM HOLDINGS INC,Information Technology,0001633978
LKQ,LKQ CORP,Consumer Discretionary,0001065696
LLY,ELI LILLY,Health Care,0000059478
LMT,LOCKHEED MARTIN CORP,Industrials,0000936468
LNC,LINCOLN NATIONAL CORP,Financials,0000059558
LNG,CHENIERE ENERGY INC,Energy,0000003570
LNT,ALLIANT ENERGY CORP,Utilities,0000352541
LOAR,LOAR HOLDINGS INC,Industrials,0002000178
LOPE,GRAND CANYON EDUCATION INC,Consumer Discretionary,0001434588
LOW,LOWES COMPANIES INC,Consumer Discretionary,0000060667
LPLA,LPL FINANCIAL HOLDINGS INC,Financials,0001397911
LPX,LOUISIANA PACIFIC CORP,Materials,0000060519
LRCX,LAM RESEARCH CORP,Information Technology,0000707549
LSCC,LATTICE SEMICONDUCTOR CORP,Information Technology,0000855658
LSTR,LANDSTAR SYSTEM INC,Industrials,0000853816
LUV,SOUTHWEST AIRLINES,Industrials,0000092380
LVS,LAS VEGAS SANDS CORP,Consumer Discretionary,0001300514
LW,LAMB WESTON HOLDINGS INC,Consumer Staples,0001679273
LYB,LYONDELLBASELL INDUSTRIES NV CLASS,Materials,0001489393
LYV,LIVE NATION ENTERTAINMENT INC,Communication,0001335258
MAA,MID AMERICA APARTMENT COMMUNITIES,Real Estate,0000912595
MANH,MANHATTAN ASSOCIATES INC,Information Technology,0001056696
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,0001048286
MAS,MASCO CORP,Industrials,0000062996
MASI,MASIMO CORP,Health Care,0000937556
MAT,MATTEL INC,Consumer Discretionary,0000063276
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,0000827054
MCK,MCKESSON CORP,Health Care,0000927653
MCO,MOODYS CORP,Financials,0001059556
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,0001103982
MDT,MEDTRONIC PLC,Health Care,0001613103
MEDP,MEDPACE HOLDINGS INC,Health Care,0001668397
MET,METLIFE INC,Financials,0001099219
MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,0000789570
MKC,MCCORMICK & CO NON-VOTING INC,Consumer Staples,0000063754
MKL,MARKEL GROUP INC,Financials,0001096343
MKSI,MKS,Information Technology,0001049502
MLI,MUELLER INDUSTRIES INC,Industrials,0000089439
MLM,MARTIN MARIETTA MATERIALS INC,Materials,0000916076
MMM,3M,Industrials,0000066740
MNST,MONSTER BEVERAGE CORP,Consumer Staples,0000865752
MO,ALTRIA GROUP INC,Consumer Staples,0000764180
MORN,MORNINGSTAR INC,Financials,0001289419
MPC,MARATHON PETROLEUM CORP,Energy,0001510295
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,0001280452
MRK,MERCK & CO INC,Health Care,0000310158
MRSH,MARSH INC,Financials,0000062709
MRVL,MARVELL TECHNOLOGY INC,Information Technology,0001835632
MS,MORGAN STANLEY,Financials,0000895421
MSA,MSA SAFETY INC,Industrials,0000066570
MSCI,MSCI INC,Financials,0001408198
MSFT,MICROSOFT CORP,Information Technology,0000789019
MSI,MOTOROLA SOLUTIONS INC,Information Technology,0000068505
MSM,MSC INDUSTRIAL INC CLASS A,Industrials,0001003078
MTB,M&T BANK CORP,Financials,0000036270
MTD,METTLER TOLEDO INC,Health Care,0001037646
MTDR,MATADOR RESOURCES,Energy,0001520006
MTG,MGIC INVESTMENT CORP,Financials,0000876437
MTSI,MACOM TECHNOLOGY SOLUTIONS INC,Information Technology,0001493594
MTZ,MASTEC INC,Industrials,0000015615
MU,MICRON TECHNOLOGY INC,Information Technology,0000723125
NBIX,NEUROCRINE BIOSCIENCES INC,Health Care,0000914475
NDAQ,NASDAQ INC,Financials,0001120193
NEE,NEXTERA ENERGY INC,Utilities,0000753308
NEM,NEWMONT,Materials,0001164727
NET,CLOUDFLARE INC CLASS A,Information Technology,0001477333
NEU,NEWMARKET CORP,Materials,0001282637
NFG,NATIONAL FUEL GAS,Utilities,0000070145
NI,NISOURCE INC,Utilities,0001111711
NLY,ANNALY CAPITAL MANAGEMENT REIT INC,Financials,0001043219
NNN,NNN REIT INC,Real Estate,0000751364
NOC,NORTHROP GRUMMAN CORP,Industrials,0001133421
NOW,SERVICENOW INC,Information Technology,0001373715
NRG,NRG ENERGY INC,Utilities,0001013871
NSC,NORFOLK SOUTHERN CORP,Industrials,0000702165
NTAP,NETAPP INC,Information Technology,0001002047
NTRA,NATERA INC,Health Care,0001604821
NVDA,NVIDIA CORP,Information Technology,0001045810
NVR,NVR INC,Consumer Discretionary,0000906163
NVT,NVENT ELECTRIC PLC,Industrials,0001720635
NWS,NEWS CORP CLASS B,Communication,0001564708
NWSA,NEWS CORP CLASS A,Communication,0001564708
NXST,NEXSTAR MEDIA GROUP INC,Communication,0001142417
O,REALTY INCOME REIT CORP,Real Estate,0000726728
OC,OWENS CORNING,Industrials,0001370946
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,0000878927
OGE,OGE ENERGY CORP,Utilities,0001021635
OHI,OMEGA HEALTHCARE INVESTORS REIT IN,Real Estate,0000888491
OKE,ONEOK INC,Energy,0001039684
OLED,UNIVERSAL DISPLAY CORP,Information Technology,0001005284
OMC,OMNICOM GROUP INC,Communication,0000029989
OMF,ONEMAIN HOLDINGS INC,Financials,0001584207
ON,ON SEMICONDUCTOR CORP,Information Technology,0001097864
ONTO,ONTO INNOVATION INC,Information Technology,0000704532
ORCL,ORACLE CORP,Information Technology,0001341439
ORI,OLD REPUBLIC INTERNATIONAL CORP,Financials,0000074260
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,0000898173
OTIS,OTIS WORLDWIDE CORP,Industrials,0001781335
OXY,OCCIDENTAL PETROLEUM CORP,Energy,0000797468
OZK,BANK OZK,Financials,0001569650
P,EVERPURE INC CLASS A,Information Technology,0001474432
PAG,PENSKE AUTOMOTIVE GROUP VOTING INC,Consumer Discretionary,0001019849
PANW,PALO ALTO NETWORKS INC,Information Technology,0001327567
PAYX,PAYCHEX INC,Industrials,0000723531
PB,PROSPERITY BANCSHARES INC,Financials,0001068851
PCAR,PACCAR INC,Industrials,0000075362
PCOR,PROCORE TECHNOLOGIES INC,Information Technology,0001611052
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,0000788784
PEGA,PEGASYSTEMS INC,Information Technology,0001013857
PEN,PENUMBRA INC,Health Care,0001321732
PEP,PEPSICO INC,Consumer Staples,0000077476
PFE,PFIZER INC,Health Care,0000078003
PFG,PRINCIPAL FINANCIAL GROUP INC,Financials,0001126328
PFGC,PERFORMANCE FOOD GROUP,Consumer Staples,0001618673
PG,PROCTER & GAMBLE,Consumer Staples,0000080424
PGR,PROGRESSIVE CORP,Financials,0000080661
PH,PARKER-HANNIFIN CORP,Industrials,0000076334
PHM,PULTEGROUP INC,Consumer Discretionary,0000822416
PK,PARK HOTELS RESORTS INC,Real Estate,0001617406
PLD,PROLOGIS REIT INC,Real Estate,0001045609
