rebalance_date,ticker,action,reason,stage,score,bad_months,distribution_risk
2019-04-30,ALGN,enter,monster_scout,scout,1.3726171734448365,0,0.5223943774906274
2019-04-30,CDNS,enter,monster_scout,scout,1.352270747772993,0,0.4056758596947729
2019-04-30,ADBE,enter,monster_scout,scout,1.29603171879624,0,0.151809073128744
2019-05-31,ALGN,trim,distribution_trim,scout,0.47966684421557754,0,0.8670615682422994
2019-05-31,CDNS,hold,watch_stale,scout,0.3172418517445014,1,0.5259785323702689
2019-05-31,ADBE,hold,hold,scout,0.5740946711236274,0,0.5259785323702689
2019-05-31,SBAC,enter,monster_scout,scout,0.9829409573276076,0,0.5259785323702689
2019-05-31,BR,enter,monster_scout,scout,0.9610280321272253,0,0.5259785323702689
2019-05-31,MKTX,enter,monster_scout,scout,0.8943211140405735,0,0.5259785323702689
2019-06-28,ALGN,trim,distribution_trim,scout,0.12036330182051841,1,0.8134143956316509
2019-06-28,CDNS,hold,hold,confirm,0.8201311544718971,0,0.1748847664762974
2019-06-28,ADBE,hold,hold,confirm,1.1251272204505216,0,0.0516149525445256
2019-06-28,SBAC,hold,hold,scout,0.6773144981182219,0,0.0516149525445256
2019-06-28,BR,hold,hold,confirm,0.8640107746594559,0,0.1655992201608291
2019-06-28,MKTX,hold,hold,confirm,0.9050065434852829,0,0.2875826507344425
2019-06-28,HEI,enter,monster_scout,scout,1.0854176052663402,0,0.5100762167352363
2019-06-28,NOC,enter,monster_scout,scout,1.0095711113607428,0,0.0516149525445256
2019-06-28,MSCI,enter,monster_scout,scout,1.004597835787382,0,0.1431281396518668
2019-07-31,ALGN,exit,failed_recovery_after_peak,scout,,,
2019-07-31,CDNS,hold,hold,confirm,0.586328900451092,0,0.2846848712565041
2019-07-31,ADBE,hold,hold,winner,0.8979996721034089,0,0.2846848712565041
2019-07-31,SBAC,hold,hold,confirm,0.8025239321810246,0,0.2846848712565041
2019-07-31,BR,hold,watch_stale,confirm,0.12511843459937444,1,0.2846848712565041
2019-07-31,MKTX,hold,hold,confirm,0.5439536618682735,0,0.2846848712565041
2019-07-31,HEI,hold,hold,confirm,0.9897686167083234,0,0.3503128190912596
2019-07-31,NOC,hold,hold,confirm,0.8970315268987556,0,0.2846848712565041
2019-07-31,MSCI,hold,watch_stale,scout,0.07353959627872297,1,0.2846848712565041
2019-07-31,MU,enter,monster_scout,scout,1.056980510084973,0,0.2846848712565041
2019-07-31,HUM,enter,monster_scout,scout,1.0514925523017582,0,0.2846848712565041
2019-07-31,RMD,enter,monster_scout,scout,1.0452906466477911,0,0.2846848712565041
2019-08-30,CDNS,hold,watch_stale,confirm,0.12821756556982333,1,0.2296455592676155
2019-08-30,ADBE,hold,hold,winner,0.44762061807305303,0,0.2296455592676155
2019-08-30,SBAC,hold,hold,confirm,0.6510207467030014,0,0.2296455592676155
2019-08-30,BR,exit,stale_leader_review_exit,confirm,,,
2019-08-30,MKTX,hold,hold,winner,0.6622066506033477,0,0.4476631113919173
2019-08-30,HEI,hold,hold,winner,0.9343090111135955,0,0.2296455592676155
2019-08-30,NOC,hold,hold,confirm,0.7737362192589341,0,0.2296455592676155
2019-08-30,MSCI,hold,hold,scout,0.6179621983133389,0,0.2296455592676155
2019-08-30,MU,hold,hold,confirm,1.3110107652594487,0,0.2296455592676155
2019-08-30,HUM,exit,missing_from_candidate_book,scout,,,
2019-08-30,RMD,hold,hold,confirm,1.0742089262924912,0,0.2546775179454584
2019-08-30,KLAC,enter,monster_scout,scout,1.2066913912474413,0,0.2404829204198268
2019-08-30,TGT,enter,monster_scout,scout,1.1476011553041132,0,0.4901694755354291
2019-08-30,WST,enter,monster_scout,scout,1.111208668023094,0,0.2498272378055532
2019-09-30,CDNS,exit,stale_leader_review_exit,confirm,,,
2019-09-30,ADBE,hold,watch_stale,winner,-0.16834980427435176,1,0.1942480183164893
2019-09-30,SBAC,hold,watch_stale,confirm,-0.09866213971863241,1,0.1942480183164893
2019-09-30,MKTX,hold,watch_stale,winner,-0.30686507878490127,1,0.1942480183164893
2019-09-30,HEI,hold,watch_stale,winner,-0.16507537830814695,1,0.1942480183164893
2019-09-30,NOC,hold,hold,winner,0.8861847065199218,0,0.1942480183164893
2019-09-30,MSCI,hold,watch_stale,scout,-0.20720964818621246,1,0.1942480183164893
2019-09-30,MU,hold,watch_stale,confirm,0.33719948118816584,1,0.1942480183164893
2019-09-30,RMD,hold,hold,winner,0.8763948139142258,0,0.1942480183164893
2019-09-30,KLAC,hold,hold,confirm,0.9667959131410566,0,0.2798144390312528
2019-09-30,TGT,hold,hold,confirm,1.0385675730873094,0,0.1942480183164893
2019-09-30,WST,hold,hold,confirm,0.9303653988978985,0,0.1942480183164893
2019-09-30,SYY,enter,monster_scout,scout,1.1306609147183093,0,0.1942480183164893
2019-10-31,ADBE,exit,stale_leader_review_exit,winner,,,
2019-10-31,SBAC,exit,stale_leader_review_exit,confirm,,,
2019-10-31,MKTX,exit,missing_from_candidate_book,winner,,,
2019-10-31,HEI,exit,stale_leader_review_exit,winner,,,
2019-10-31,NOC,hold,watch_stale,winner,-0.23025810934193858,1,0.0045461999719623
2019-10-31,MSCI,exit,failed_scout_timeout,scout,,,
2019-10-31,MU,hold,hold,confirm,0.7244883815726851,0,0.0133857338792156
