policy_id,portfolio,precedence,candidate_id,policy_variant,evidence_type,source,production_ready,activation_stage,metrics_valid,invalid_reason,target_pass,cagr,cagr_target,cagr_gap_pp,max_dd,max_dd_target,max_dd_gap_pp,sharpe,avg_turnover_monthly,delta_cagr_pp,delta_max_dd_pp,delta_sharpe,fusion_score,priority_count,diagnostic_action,autolearning_status,macro_latest_risk_state,macro_latest_style_state,dependencies,conflict_scope,notes
position_hard_stop_distribution,main,100,,,diagnostic,outputs/historical_trade_journey/historical_decision_priorities.csv,False,shadow_watch,True,,False,0.20254983739282295,0.3,9.745,-0.3249678387996816,-0.15,17.4968,0.9652072769745561,,0.0,0.0,0.0,-29.4411,156,tighten_entry_or_fast_exit,,,,Requires trade-level reason attribution before production activation.,Overrides long-hold and shakeout rules when hard exits trigger.,Historical journey found quick-loss patterns; entry gates or fast exits should be tightened.
position_hard_stop_distribution,concentrated,100,concentrated_broker_position_risk_replay,,production,sidecar:outputs/broker_position_risk_replay/concentrated/metrics.json,True,reject_current_form,True,,False,0.17733572090947347,0.5,32.2664,-0.4741501344919037,-0.18,29.415,0.7801966153259654,,-13.5736,-8.3811,-0.269,-107.9367,,,,,,"Requires account-ledger target pass, stress review, liquidity review, and human approval before production activation.",Overrides 50% conviction sizing when a position breaks.,Concentrated hard-stop evidence near the 50% CAGR / -18% MaxDD goal.
macro_crisis_cash_ladder,main,95,,fast_reentry,monthly_proxy,outputs/crisis_reentry_replay/metrics.json#best_by_cagr,False,candidate_for_combination,True,,False,0.2951784507410331,0.3,0.4822,-0.11064963001488481,-0.15,0.0,1.8726022014698096,0.5126754377214244,9.2629,21.4318,0.9074,32.632,,,,,,Requires macro_policy_engine risk states and production-compatible cash accounting.,Overrides idle cash redeploy and new risk-on adds in red/crisis regimes.,Crisis cash ladder plus staged bargain re-entry.
stale_leader_trim,main,90,,,diagnostic,outputs/historical_trade_journey/historical_decision_priorities.csv,False,shadow_watch,True,,False,0.20254983739282295,0.3,9.745,-0.3249678387996816,-0.15,17.4968,0.9652072769745561,,0.0,0.0,0.0,-29.4411,6,review_trim_or_exit,,,,Requires relative-strength underperformance and no shakeout veto.,Can be delayed by shakeout_hold_veto; yields to hard exits.,Historical journey found stale leaders that should be reviewed for half-trim or exit.
shakeout_hold_veto,main,86,,,diagnostic,outputs/shakeout_breakdown_study/pattern_summary.json,False,shadow_watch,True,,False,0.20254983739282295,0.3,9.745,-0.3249678387996816,-0.15,17.4968,0.9652072769745561,,0.0,0.0,0.0,-29.4411,1306,shakeout_veto_candidate,,,,"Needs shakeout/distribution classifier with volume, RS recovery, sector context, and fundamental deterioration flags.",Cannot override hard stops or confirmed distribution.,Protects valid shake-outs from soft stale trims; not yet hard-wired to production exits.
monster_early_staged_sizing,main,80,,,diagnostic,outputs/winner_onset_study/pattern_summary.json,False,shadow_watch,True,,False,0.20254983739282295,0.3,9.745,-0.3249678387996816,-0.15,17.4968,0.9652072769745561,,0.0,0.0,0.0,-29.4411,29,refine_monster_entry_pattern,,,,Requires conversion from event-level onset evidence into portfolio-level challenger replay.,Can support monster staged sizing only after macro/risk/liquidity gates pass.,Winner-onset study is available to refine early monster entry patterns without ticker hardcoding.
monster_early_staged_sizing,concentrated,80,monster_lifecycle_review_concentrated,,historical_replay,sidecar:outputs/monster_lifecycle_review_concentrated/metrics.json,False,conditional_defense_only,True,,False,0.13786514120863114,0.5,36.2135,-0.2671078760338874,-0.18,8.7108,0.8628507418006427,0.28295910797022233,-17.5207,12.3231,-0.1863,-73.1316,,,,,,Requires weekly/intramonth validation before production activation.,Conflicts with hard stops and macro crisis defense.,Concentrated staged monster sizing up to the 50% policy cap.
long_winner_hold_template,main,76,lifecycle_review_overlay_main,,historical_replay,sidecar:outputs/lifecycle_review_overlay_main/metrics.json,False,shadow_watch,True,,False,0.19563619443581626,0.3,10.4364,-0.3177988623430802,-0.15,16.7799,0.9553850894299794,0.33935045089597166,-0.6914,0.7169,-0.0098,-28.2368,,,,,,Requires stale-leader and hard-stop vetoes to avoid holding broken former leaders.,Conflicts with stale-leader trim and hard stops.,Monthly lifecycle overlay to reduce unnecessary churn in long winners.
idle_cash_redeploy,main,70,,cash0.00_cap0.33,monthly_proxy,outputs/main_cash_drag_replay/summary.json#best_by_cagr,False,confirm_with_production_compatible_replay,True,,True,0.3411623539579862,0.3,0.0,-0.11720108008368957,-0.15,0.0,1.8093658397507664,0.4914331043080052,13.8613,20.7767,0.8442,79.6126,,,,,,Blocked by macro crisis cash ladder; allowed in green/recovery regimes only.,Conflicts with crisis cash floors and confirmed monster stage funding.,Redeploy normal-market idle cash while respecting single-name caps.
style_macro_router,main,64,main_v2_historical_replay,,historical_replay,sidecar:outputs/main_v2_backtest/metrics.json,False,candidate_for_combination,True,,False,0.21349785637835428,0.3,8.6502,-0.2730014582194167,-0.15,12.3001,0.9939351650334307,0.4863947971694727,1.0948,5.1966,0.0287,-13.3486,,,,,,Requires style-regime monthly attribution and no regression versus production.,Determines opportunity style before monster/stale rules act.,Main v2 sleeve router for core/future/early style allocation.
