window_group,window,start_date,end_date,years,baseline_cagr,candidate_cagr,baseline_max_dd,candidate_max_dd,delta_cagr_pp,delta_max_dd_pp,candidate_contract_pass,delta_positive
fixed,full,2019-06-03,2026-07-06,7.091033538672143,0.4866155651099202,0.48283941140683284,-0.22955201825505345,-0.23191972537162808,-0.37761537030873704,-0.23677071165746355,False,False
fixed,is_to_2024_06_30,2019-06-03,2024-06-28,5.070499657768652,0.27568706287669764,0.28133601616450643,-0.20838527950384333,-0.20584538824001664,0.5648953287808789,0.2539891263826699,False,True
fixed,oos_from_2024_07_01,2024-07-01,2026-07-06,2.0123203285420943,1.196081916471996,1.1520280697819478,-0.22955201825505345,-0.23191972537162808,-4.405384669004819,-0.23677071165746355,True,False
fixed,oos2_from_2023_01_01,2023-01-03,2026-07-06,3.5044490075290895,0.7442250994766006,0.7345249703849794,-0.22955201825505345,-0.23191972537162808,-0.9700129091621212,-0.23677071165746355,True,False
calendar_year,2020,2020-01-02,2020-12-31,0.9965776865160849,1.056808727062219,0.9918883746217884,-0.20838527950384333,-0.20584538824001652,-6.492035244043071,0.253989126382681,True,False
calendar_year,2021,2021-01-04,2021-12-31,0.9883641341546886,0.15245219804970156,0.1605009722674633,-0.14619011292416617,-0.14282367491648618,0.8048774217761734,0.3366438007679995,False,True
calendar_year,2022,2022-01-03,2022-12-30,0.9883641341546886,-0.09036660182333256,-0.09175644581434095,-0.096092508795111,-0.09759971797906875,-0.13898439910083882,-0.15072091839577473,False,False
calendar_year,2023,2023-01-03,2023-12-29,0.9856262833675564,0.18925465744836267,0.18461618486908749,-0.11811920979879198,-0.11542205789858961,-0.4638472579275188,0.2697151900202366,False,False
calendar_year,2024,2024-01-02,2024-12-31,0.9965776865160849,0.5515771184129559,0.5885363336215337,-0.17732466320295648,-0.1712452719393054,3.695921520857781,0.607939126365109,True,True
calendar_year,2025,2025-01-02,2025-12-31,0.9938398357289527,1.2371628306723608,1.2069910199870013,-0.22955201825505345,-0.23191972537162797,-3.0171810685359457,-0.23677071165745245,True,False
calendar_year,2026,2026-01-02,2026-07-06,0.5065023956194388,1.7449545578588834,1.6011166313420242,-0.15502096525416342,-0.14813098258726864,-14.383792651685923,0.6889982666894778,True,False
rolling_12m,12m_to_2020-03-31,2019-06-03,2020-03-31,0.8268309377138946,0.267847274771122,0.28789744424029684,-0.20838527950384333,-0.20584538824001652,2.0050169469174817,0.253989126382681,False,True
rolling_12m,12m_to_2020-04-30,2019-06-03,2020-04-30,0.9089664613278576,0.24724165579454493,0.26453402485332833,-0.20838527950384333,-0.20584538824001652,1.7292369058783397,0.253989126382681,False,True
rolling_12m,12m_to_2020-05-29,2019-06-03,2020-05-29,0.9883641341546886,0.2880752342998747,0.30153587495700096,-0.20838527950384333,-0.20584538824001652,1.3460640657126266,0.253989126382681,False,True
rolling_12m,12m_to_2020-06-30,2019-07-01,2020-06-30,0.999315537303217,0.34269833069547473,0.35063401614539,-0.20838527950384333,-0.20584538824001652,0.7935685449915297,0.253989126382681,False,True
rolling_12m,12m_to_2020-07-31,2019-07-31,2020-07-31,1.002053388090349,0.4909085847638419,0.5052827262722559,-0.20838527950384333,-0.20584538824001652,1.4374141508413985,0.253989126382681,True,True
