ticker,Name,sector,source_universe,in_prefilter,in_scored_universe,in_main_target,in_concentrated_target,main_target_weight,concentrated_target_weight,main_preview_target_weight,concentrated_preview_target_weight,has_actionable_order,has_blocked_delta,main_order_status,concentrated_order_status,prefilter_drop_reason,first_scored_date,first_onset_signal_date,first_target_date,first_broker_buy_date,first_broker_exit_date,missed_return_after_onset,best_historical_forward_return,historical_candidate_months,price_cache_exists,price_cache_last_date,price_cache_stale_days,failed_min_price,failed_dollar_vol,failed_mktcap,failed_vol_252,failed_dd_1y,failed_rank_size,px,dollar_vol_20d,mktcap,dd_1y,portfolio_sleeve_label,portfolio_candidate_gate_label,portfolio_defensive_rotation_action,portfolio_monster_early_score,portfolio_stale_mega_leader_score,portfolio_risk_entry_block_score,rs_acceleration_score,oneil_leadership_score,industry_group_strength_score,relative_strength_composite,period_forward_return,score_total_rank,score_total,score_rank,score,portfolio_future_winner_engine_score_rank,portfolio_future_winner_engine_score,drop_reason
A,AGILENT TECHNOLOGIES INC,Health Care,current_constituents_proxy,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2019-05-31,2019-10-31,,,,0.0393407050909575,0.2423415315325681,83,True,2026-05-15,2.0,False,False,False,False,False,False,111.6999969482422,230192714.49363708,31617173047.086597,0.3790639286286397,unassigned,rejected,,,,,-0.2321764396767049,0.1654668692316294,-1.0239175528883786,-0.7580545979295276,,640.0,-1.3990712590314345,640.0,-1.4240617682848284,717.0,-0.4447991035129403,candidate_gate_rejected
AAON,AAON INC,Industrials,current_constituents_proxy,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2023-02-28,2024-02-29,,,,0.037081959297935,0.2836970119196029,37,True,2026-05-15,2.0,False,False,False,False,False,False,135.49000549316406,164826454.94033813,11098218037.854462,0.4885611207725294,early_scout,early_relaxed,,,,,1.9911662219661963,0.0028378484532288,-0.2929053788669278,1.1152217972993463,,492.0,-0.3414994946208118,489.0,-0.363492367603921,87.0,0.4761936596233133,rank_or_cap_not_selected
AAPL,APPLE INC,Information Technology,current_constituents_proxy,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2019-05-31,2019-08-30,2019-10-31,2019-11-01,2020-01-02,0.0805600413786069,0.2291994020096124,83,True,2026-05-15,2.0,False,False,False,False,False,False,300.2300109863281,13626820383.173676,4409585053240.112,0.2443012738325592,core_compounder,core_strict,,,,,0.4939392124023993,0.1788562700533502,-0.0019062165777496,0.5411551341466891,,9.0,4.985394675787618,9.0,5.041469780830435,150.0,0.305860797181833,rank_or_cap_not_selected
ABBV,ABBVIE INC,Health Care,current_constituents_proxy,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2020-05-29,,2020-06-30,2020-07-01,2020-08-03,0.0425854198247004,0.0425854198247004,3,True,2026-05-15,2.0,False,False,False,False,False,False,210.38999938964844,1360173304.1900637,371715540531.82526,0.1731523828438287,core_compounder,core_strict,,,,,-0.6844388700028985,-0.2194969775309964,0.3271342215171324,-0.2062498095218841,,40.0,3.3341160497230127,39.0,3.325075777907351,543.0,-0.150355366987456,rank_or_cap_not_selected
ABEV,Ambev,Consumer Staples,adr_whitelist,True,False,False,False,0.0,0.0,0.0,0.0,False,False,,,failed_min_price+failed_mktcap,,,,,,,,0,True,2026-05-15,2.0,True,False,True,False,False,False,3.069999933242798,87095410.68252444,,0.6308109028574214,,,,,,,,,,,,,,,,,,filtered_before_scoring:failed_min_price+failed_mktcap
ABT,ABBOTT LABORATORIES,Health Care,current_constituents_proxy,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2019-05-31,2020-05-29,2019-06-28,2019-07-01,2019-08-01,-0.0451855006136904,0.1867949680653353,83,True,2026-05-15,2.0,False,False,False,False,False,False,84.47000122070312,1195662102.305603,147130898003.86588,0.3963999652386125,unassigned,rejected,,,,,-0.1517407231711893,0.3499475751799067,-1.254402477763382,-1.1997810876886104,,185.0,1.4551741422418671,185.0,1.454004134937514,685.0,-0.3535018068593818,candidate_gate_rejected
ACGL,ARCH CAPITAL GROUP LTD,Financials,current_constituents_proxy,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2020-02-28,2021-02-26,,,,0.0749793743660056,0.0749793743660056,2,True,2026-05-15,2.0,False,False,False,False,False,False,93.9800033569336,221341559.27467343,32835634653.117645,0.2243193509564421,unassigned,rejected,,,,,0.1389644869544632,-0.0172980946666378,-0.4297357099997836,0.0686308625725205,,360.0,0.3580307225253409,368.0,0.3136319374977673,400.0,-0.0250455237791325,candidate_gate_rejected
ACHR,Archer Aviation,Information Technology,etf_thematic_overlay,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,,,,,,,,0,True,2026-05-15,2.0,False,False,False,False,True,False,6.050000190734863,231149205.53287268,4595568099.331822,0.7117852839479135,unassigned,rejected,,,,,1.2542219221268076,-0.0958553414138258,-0.0703961836255058,-1.0609799670708486,,742.0,-4.527609988598175,742.0,-4.582157969966024,725.0,-0.4771495710333762,candidate_gate_rejected
ACI,ALBERTSONS COMPANY INC CLASS A,Consumer Staples,current_constituents_proxy,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2022-07-29,2023-04-28,2023-11-30,2023-12-01,2024-02-01,-0.0424214714042138,0.1038425774988447,42,True,2026-05-15,2.0,False,False,False,False,False,False,16.399999618530273,90261330.0070572,8110371220.149929,0.3603102089870207,early_scout,early_relaxed,,,,,0.4374321522110509,0.0,-0.1569906887444596,-0.4433330828712575,,417.0,0.1034254028799177,402.0,0.148090595293312,344.0,0.0335247755928237,rank_or_cap_not_selected
ACLS,Axcelis Technologies,Information Technology,cycle_play_whitelist,True,False,False,False,0.0,0.0,0.0,0.0,False,False,,,failed_dd_1y,2021-11-30,2021-11-30,2023-01-31,2023-02-01,2023-04-03,0.1533375568053279,0.4417451568522375,34,True,2026-05-15,2.0,False,False,False,False,True,False,155.17999267578125,124379007.92854308,4769285911.358215,0.7189744545428045,,,,,,,,,,,,,,,,,,filtered_before_scoring:failed_dd_1y
