ticker,Name,sector,portfolio_sleeve_label,portfolio_candidate_gate_label,governance_catalyst_score,governance_catalyst_label,event_regime_label,live_event_alert_label,portfolio_monster_early_score,rs_acceleration_score,market_cap_live,ownership_flow_pillar_score,insider_cluster_boost_score,event_revision_pillar_score,selection_flow_confirmation_score,event_reaction_score,live_event_growth_reentry_score,live_event_defensive_score,live_event_risk_score,focus_live_event_growth_score,focus_event_stress_penalty
RKLB,ROCKET LAB CORP,Industrials,future_winner,future_relaxed,1.569400746944454,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-2.598526001749839,61040867621.78314,0.0666666666666666,0.0,2.9062724131879665,0.2,6.0,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.4850443821908627,0.0
QCOM,QUALCOMM INC,Information Technology,unassigned,rejected,1.4888672732460784,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,3.0,230920856140.13672,0.0666666666666666,0.0,2.5036050446960885,0.2,6.0,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.3453169617655458,0.0
DVA,DAVITA INC,Health Care,early_scout,early_relaxed,1.4223135798965714,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,2.456875309651683,12753329608.154297,0.0666666666666666,0.0,3.1064354612021594,0.2,4.752534822328525,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.3105762721476217,0.0
NXPI,NXP Semiconductors,Semiconductors,future_winner,adr_global_alpha_fallback,1.4154989328480163,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,1.1572860632912452,74415849472.0,0.0666666666666666,0.0,2.59386479195704,0.2,5.390531400998318,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.3299203483330911,0.0
ARM,Arm Holdings,Information Technology,future_winner,future_relaxed,1.2742005654335442,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,3.0,226492744537.35352,0.0666666666666666,0.0,2.3783537332160654,0.2,4.735890363223136,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.3615741955209433,0.0
HRB,H&R BLOCK INC,Consumer Discretionary,early_scout,early_relaxed,1.2724544820685917,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,2.6713025723108617,4685057134.667564,0.0666666666666666,0.0,2.865416589264579,0.2,4.079438988517015,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.0992479974939639,0.0027637934749482
URI,UNITED RENTALS INC,Industrials,unassigned,rejected,1.2580038617958302,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-0.388651898410021,58699823909.0,0.0666666666666666,0.0,2.6905154302551777,0.2,4.21169674291956,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.2261057571383065,0.0
AAON,AAON INC,Industrials,early_scout,early_relaxed,1.224962306178631,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,2.495479074643752,11439789718.56964,0.0666666666666666,0.0,2.188196509630663,0.2,4.661178266304251,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.2870145797394365,0.0
SFM,SPROUTS FARMERS MARKET INC,Consumer Staples,unassigned,rejected,1.2179941791775342,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,3.0,7789689624.030258,0.0666666666666666,0.0,3.040505763809992,0.2,3.480729997664333,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.0991676647696009,0.0014509501639
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Materials,early_scout,early_relaxed,1.0344669163436468,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.8647195718182299,20692347265.77437,0.0666666666666666,0.0,2.043010478607282,0.0,3.584790375435532,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.1896882995649865,0.0
NBIX,NEUROCRINE BIOSCIENCES INC,Health Care,future_winner,future_relaxed,0.9612430673403962,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.4273866083089247,15308734911.75,0.0666666666666666,0.0,2.3403403119497117,0.2,2.70019160429062,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.1859633021365402,0.0
EXEL,EXELIXIS INC,Health Care,early_scout,early_relaxed,0.9292922625725406,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.4011453446736334,12105260758.926258,0.0666666666666666,0.0,2.4619156488335694,0.2,2.3250857899931057,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.2282536713984413,0.0
SNDK,SANDISK CORP,Information Technology,unassigned,rejected,0.8889597043326591,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.0,231366547452.05835,0.0666666666666666,0.0,0.8345128197084632,0.0,4.226072507227371,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.4831114304152898,0.0
CHDN,CHURCHILL DOWNS INC,Consumer Discretionary,unassigned,rejected,0.8706306515183982,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.2922181952211326,6142388310.611725,0.0666666666666666,0.0,2.3711490257852312,0.2,2.058591718731472,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.1167387217877093,0.0021367030209182
TLN,TALEN ENERGY CORP,Utilities,future_winner,future_relaxed,0.8435008531704262,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-0.4718766397542681,17539268632.934692,0.0666666666666666,0.0,1.7794744049391185,0.2,2.6630647191716115,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.1185330386996421,0.0
FLEX,FLEX LTD,Information Technology,future_winner,future_relaxed,0.8046482735926258,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.0,54593279296.875,0.0666666666666666,0.0,0.7994810317697553,0.0,3.710705352878759,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.4443059999151473,0.0
STX,Seagate Technology,Information Technology,future_winner,future_relaxed,0.8006242623516994,growth_reentry,balanced,growth_reentry_alert,0.0,0.0,175490581583.48438,0.0666666666666666,0.0,0.5582818338279714,0.0,4.005477541861628,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.4715367586859147,0.0
OLED,UNIVERSAL DISPLAY CORP,Information Technology,unassigned,rejected,0.7971731107028789,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-0.130846498806685,4289394249.25,0.0666666666666666,0.0,1.9784930138527763,0.2,2.098854428920132,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.0228249591396952,0.0059996828502285
EME,EMCOR GROUP INC,Industrials,future_winner,future_relaxed,0.7947679158752781,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-1.1574140451337336,40957938466.90064,0.0666666666666666,0.0,1.8103939016144828,0.2,2.296952474970138,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.2795086483589928,0.0
APP,APPLOVIN CORP CLASS A,Information Technology,core_compounder,core_strict,0.7811095081391476,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.121874038037236,157570549594.84863,0.0666666666666666,0.0,1.4825278680984333,0.2,2.6430629876585447,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.1131280866365407,7.111744726369378e-06
MTSI,MACOM TECHNOLOGY SOLUTIONS INC,Information Technology,future_winner,future_relaxed,0.7511379840900447,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-1.8576321690530868,27457323519.65796,0.0666666666666666,0.0,0.7228096483711222,0.2,3.456198600726396,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.4847797715501712,0.0
NVT,NVENT ELECTRIC PLC,Industrials,future_winner,future_relaxed,0.7397375369556938,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-1.029386807455143,27484390323.868347,0.0666666666666666,0.0,1.526822311760212,0.2,2.3081787353119374,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.339969428964325,0.0
VRT,VERTIV HOLDINGS CLASS A,Industrials,core_compounder,core_strict,0.7338524793906737,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-0.5772348764813797,130585474644.40285,0.0666666666666666,0.0,1.6179609007146816,0.2,2.1474268996058434,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.4421942156422138,0.0
ELV,ELEVANCE HEALTH INC,Health Care,unassigned,rejected,0.7319597071539365,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,1.6815082579230116,82102582597.14478,0.0666666666666666,0.0,1.5513122684991028,0.2,2.2236732609817005,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.1035652487318989,0.0
FSLR,FIRST SOLAR INC,Information Technology,future_winner,future_relaxed,0.7213618625081919,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-1.3664298955376268,23634366863.92836,0.0666666666666666,0.0,1.923369689114342,0.2,1.6580090350164571,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.147466941700087,0.0006387794960236
UMC,United Microelectronics,Semiconductors,future_winner,adr_global_alpha_fallback,0.7021428722515867,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,1.0018267149125633,38779322368.0,0.0666666666666666,0.0,0.7968068546372382,0.2,3.030901580115188,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.3114079542627044,0.0
