rebalance_date,ticker,action,reason,stage,score,bad_months,distribution_risk,theme_event_risk,theme_structural_growth,period_forward_return,risk_adjusted_forward_return
2019-04-30,ALGN,enter,monster_scout,scout,1.3821722583663947,0,0.5264011251312151,0.35,0.35,,
2019-04-30,CDNS,enter,monster_scout,scout,1.3619326792006907,0,0.4047614383672171,0.35,0.35,,
2019-04-30,ADBE,enter,monster_scout,scout,1.3020113617671891,0,0.151809073128744,0.15,1.0,,
2019-04-30,ALGN,exit,monthly_hard_stop_proxy,scout,1.3821722583663947,,,,,-0.1456680915583611,-0.1
2019-05-31,CDNS,hold,watch_stale,scout,0.32035267330245315,1,0.5259785323702689,0.35,0.35,,
2019-05-31,ADBE,hold,hold,scout,0.5782251585523004,0,0.5259785323702689,0.15,1.0,,
2019-05-31,SBAC,enter,monster_scout,scout,0.9881519289004551,0,0.5259785323702689,0.35,0.35,,
2019-05-31,BR,enter,monster_scout,scout,0.9661368394978286,0,0.5259785323702689,0.35,0.35,,
2019-05-31,MKTX,enter,monster_scout,scout,0.8997818494705367,0,0.5259785323702689,0.35,0.35,,
2019-06-28,CDNS,hold,hold,confirm,0.8203942761558688,0,0.1774473418662536,0.35,0.35,,
2019-06-28,ADBE,hold,hold,confirm,1.146123760551983,0,0.0516149525445256,0.15,1.0,,
2019-06-28,SBAC,hold,hold,scout,0.6790994345120963,0,0.0516149525445256,0.35,0.35,,
2019-06-28,BR,hold,hold,confirm,0.8664245609127237,0,0.1530001229912858,0.35,0.35,,
2019-06-28,MKTX,hold,hold,confirm,0.9031741806236514,0,0.2881990306438828,0.35,0.35,,
2019-06-28,HEI,enter,monster_scout,scout,1.0879023212128969,0,0.5122433199621943,0.35,0.35,,
2019-06-28,TT,enter,monster_scout,scout,1.0140623948952718,0,0.0516149525445256,0.35,0.35,,
2019-06-28,NOC,enter,monster_scout,scout,1.0103250295728319,0,0.0516149525445256,0.78,0.1,,
2019-07-31,CDNS,hold,hold,confirm,0.591589957830427,0,0.2846848712565041,0.35,0.35,,
2019-07-31,ADBE,hold,hold,winner,0.9031285360385536,0,0.2846848712565041,0.15,1.0,,
2019-07-31,SBAC,hold,hold,confirm,0.805508583811238,0,0.2846848712565041,0.35,0.35,,
2019-07-31,BR,hold,watch_stale,confirm,0.12868259883215583,1,0.2846848712565041,0.35,0.35,,
2019-07-31,MKTX,hold,hold,confirm,0.547607486503801,0,0.2846848712565041,0.35,0.35,,
2019-07-31,HEI,hold,hold,confirm,0.990559546294617,0,0.354888141021887,0.35,0.35,,
2019-07-31,TT,hold,watch_stale,scout,0.05452852201195829,1,0.2846848712565041,0.35,0.35,,
2019-07-31,NOC,hold,hold,confirm,0.8976325113444781,0,0.2846848712565041,0.78,0.1,,
2019-07-31,MU,enter,monster_scout,scout,1.058577285431809,0,0.2846848712565041,0.15,1.0,,
2019-07-31,HUM,enter,monster_scout,scout,1.0510594552887775,0,0.2846848712565041,0.35,0.35,,
2019-07-31,RMD,enter,monster_scout,scout,1.0445771542197289,0,0.2846848712565041,0.35,0.35,,
2019-08-30,CDNS,hold,watch_stale,confirm,0.12571715281207546,1,0.2296455592676155,0.35,0.35,,
2019-08-30,ADBE,hold,hold,winner,0.44819354601540934,0,0.2296455592676155,0.15,1.0,,
2019-08-30,SBAC,hold,hold,confirm,0.656193294033698,0,0.2296455592676155,0.35,0.35,,
2019-08-30,BR,exit,stale_leader_review_exit,confirm,,,,,,,
2019-08-30,MKTX,hold,hold,winner,0.6596604743777157,0,0.4521724153112908,0.35,0.35,,
2019-08-30,HEI,hold,hold,winner,0.9366865845171517,0,0.2296455592676155,0.35,0.35,,
2019-08-30,TT,exit,stale_leader_review_exit,scout,,,,,,,
2019-08-30,NOC,hold,hold,confirm,0.7752941712166813,0,0.2296455592676155,0.78,0.1,,
2019-08-30,MU,hold,hold,confirm,1.306160627507684,0,0.2296455592676155,0.15,1.0,,
2019-08-30,HUM,exit,missing_from_candidate_book,scout,,,,,,,
2019-08-30,RMD,hold,hold,confirm,1.0755154415755692,0,0.2559825737089574,0.35,0.35,,
2019-08-30,KLAC,enter,monster_scout,scout,1.2001328151373982,0,0.2437978310413068,0.15,1.0,,
2019-08-30,TGT,enter,monster_scout,scout,1.1521459433118288,0,0.4969735902591719,0.35,0.35,,
2019-08-30,EW,enter,monster_scout,scout,1.116556861415819,0,0.2296455592676155,0.35,0.35,,
